,tweet
79,Hey  아름다운 왕자! 잘 지냈어요? b1a4의 컴백을 기다려! 파이팅! 사랑해! 
80, 안녕히 게요 홍기 오빠~ 생일 축하니다~! 사랑해요~~ 
81,생일 축하한다!   
82,뮤지컬  진짜 홍광호는 진리 
83,생일 축하!!! 많이 사랑해요!! 
84,  우현아~~~ 누나 오늘 퇴직금 나온다!! 누나가 충분한 양의 술을 사줄게~ 누나랑 한잔 부딪혀볼텨?!?!??
85, ㅈㅔ꿈꾸ㅓ요
86,홍기 생일 축하합니다--♪생일 축하합니다---♪사랑하는 우리 홍기 씨---♪생일 축하합니다---♪너무너무 사랑해 HONGSTARDAYHongenius
87,Happy birthday  ^^ xoxo! 생일 축하  
88,  홍기야~~생일 축하☆*:.o(≧▽≦) o .｡. ☆일생 따라가 그러네가 나도 사랑해 주십시오\(//∇//)\멋진 1년에 
89, 굿 나이트~ 문학에서 투사로~ 해라 님 4월 총선과 대선까지만~!! 투사하셔욥 행복의 나라로 
90, 고다이바 
91,햇살을 머금은 남우현 어쩜!!!! 얼굴에서 빛이나 늬!!!! 
92,내 사랑하는 부인  love instagram 
93,      굿 나이트~사람 사는 전 봄꽃향기 속으로 
94,신천 떡볶이 맛있다 좋다 좋다 
95,고맙습니다:-) 잇힝 
96, 재환 오빠가 1번 좋아하는 노래는 무엇? 마키는 BLUE가 정말로 좋아 하모니가 예뻐서 아무것도 생각할 일이 없고 열심히 들어버린다. 어떤 의미 그림책인 것 같네요. 음악에는 이야기가 있습니다. 잘 자요~~~^^*마키
97, 진수 넌 어디 가서 절대 안 빠져 매력둥이
98, 좋은 엄마~현명하신 어머니 이모님~안녕하셔요 이제 춘삼월입니다^_^ 산과 들에 이름 모를 꽃들과 풀들이 자라나는. 건강하시죠..?!행복 가득한 3월 맞으셔요 자주 뵐게요^___^ 
99, 맞아 해품달 재미 없어졌어... 해피투게더 오늘 게스트 정말 좋아!!
100,산뜻한 봄바람을 재촉하던 날~~데이비드 라샤펠전의 감동적인 사진전으로 하루가 꽉!! 채워진~사진이 마치 화려한 색채가 가득한 그림 같았던
101,종업 오빠!!!!!!! 사랑해  
102,상경을 축하합니다 상경 샷 avec 여왕님 
103, 이야~~~인배 맛있다 
104, 아빠 오늘은 수고하세요~ ★사진 찍어 주어서 감사합니다. 진짜 밥 맛있었어요~ 애 아빠 가게에서는 초신성의 곡 흘리지 않습니까? ㅋㅋ
105, 가인 News. 오랜만에 밥 먹으며 솔로 앨범 방향에 관해 얘기를 나눴더랬죠. 가인이는 빨리 활동하고 싶다는 의지를 불태웠지만... 준비가 충분히 되어야 나올 수 있는 거겠죠. 기다려주시길.... 
106, 이번 Big Show 보러 지금 버스에서 공항을 가고 있는 길이에요! 한국~ I'm coming~!! ㅋㅋ태양야 우리 Big Show에서 만나자!!  
107, 너무나 예쁜〜보고 있어요 내가 부끄러워〜( ´ ▽ ` ) ﾉ♡결혼하자！ ♡♡얼마나 졌네요〜\(//∇//)\             나츠
108, 폰트 갊! 사! 해! 요!
109, 생각만 해도 감동이어요 삼일절 날 아리랑이라니 _  수고했습니다~~ 푹 잠들길~~
110, 종업~~~ กระต่ายเขา 
111,론리플래닛 매거진을 샀더니 awesome 한 부록이  신난다! iphoneonly korea seoul lonelyplanet world   Sweet home 
112,미안해.. 훤~~그래도 기욤  
113, 어머
114,우리 남상 엄마 돌 잔칫날 생각보다 너무 재밌었고 감동이었어 근데 벌써 이런 나이구나 멜랑꼴리하네 거참 
115,으아 adele 짱 짱짱 킹왕짱여가수에게 사랑에 빠지긴 오랜만.. ♡이럴 때가 아닌데 내 좋아함(빠짐 혹은 집착) 욕구는 현재 상황에 반비례하나 봄ㅋ 도망치고 싶은 만큼(하기 싫은 만큼) 다른 거에 막 집중 열라 집중 왕 집중 짱집중
116,Happy 17th birthday to my dear ahahma today!!!!  Applause!!!  할머니 사랑해요!!!!! 
117,  오늘도 스케줄 끝내고 마감 도와드리러 WHYSTYLE 왔습니다~~ 30세일 기간이랍니다 여러분 ㅎㅎ”
118,ALIVE 들으면서 자 여지
119, 꺄*_* 오빠 좀 전에 부탁해요 캡틴에 반 나왔어요*_* 원래 부캡 안 보는데 ost 들으려고 본방사수! 캬 목소리 너무 좋아요 으히히히히
120, 섬세한 낭자
121, 와우! 깜찍한걸
122, 축하해 언니 
123," finally, I bought sth for you ㅋㅋㅋ 내일 싱가포르공항에서 만나자!!! "
124, 너 보는구먼? ㅋㅋㅋ 난 안 봐 해품달만 봐
125, 우헹헹 감사합니다  낼 봬요!! ᄒᄒᄒ
126, sa-was-dee-ka (안녕하세요 ) Love you so much!!  miss you oppa  사랑해 
127, 예뻐요 
128,올림픽공원. 준 카페. 와 플어 예- 
129, 오빠 이 신발 좋아해요? 오빠 키티 팬 맞죠! 
130,I love one direction ! 원 디렉션 다 너무 좋다 ... ㅜ.ㅜ
131,비스트
132, 이쁘이쁘!!
133, 최고!
134, 형 은 내일 생일! 미리 생일 축하합니다. 감 기에 걸 였 어요 좋은 고통! 먼저 잘 라! 안녕히 주무 세요!
135, 당신은 정말 아름다워요 
136, 꺄~~~자전거보다 타고 계신 분이 더 이쁘십니다 
137,I have a new husband.. 송 중기... 네 것이야 xD
138, 미안~~ 서현이가 뉴규.??!! 삼촌은 지금 퇴근해욥 
139," 좋아요~!! 남은 학기 열공! 참 열심히 생활하시니, 쏟고 계시는 모든 열정에 박수를 보냅니다 포근한 밤 보내욥~퇴근합니다 ㅎㅎ"
140,천사  아이들 꿈을 꿨다. 이제 내 꿈까지 점령한 이 어메이징 한 녀석들... 2012-02-26 연주 후 기념샷 
141,크로켓 아니고 크로켓!  
142, JINON 안녕 〜춤이 멋있어요 빨리 보고 싶어요 〜앞으로도 응원할게요 〜^^
143, KAN 안녕 〜스타일이 좋으시네요 빨리 보고 싶어요 〜앞으로도 응원할게요 〜^^
144, 예준 안녕 〜목소리가 멋지세요 빨리 보고 싶어요 〜앞으로도 응원할게요 〜^^
145,오늘  선물로 받은 트위져맨 뷰러랑 샹테카이 립스틱 &gt;~&lt;  둘 다 넘넘 갖고 싶던 거라 감동 100배 꺄아아아아 ㅋㅋㅋㅋ남치님 감사합니다 센스쟁이 샹테카이 머드 팩하면서 자랑질 ㅎㅎ 
146,피부 땜에 얼굴 꽁꽁 가리고 다니는 날이 나한테도 오려나?!  조금 더 길어지고 조금 더 다정해진 햇살이 너무너무 좋다아. 
147, 사이렌 휘슬  _  비지찌개 사 먹었어요? 나도 오늘 비지찌개 해먹었는데~^^ 날도 좋은데 즐거운 하루 보낸 듯?
148, 그 즈음인가요 미국! 엉엉 오라버니 오실 때까지 파티는 미뤄두고 망원에서 모두 가부좌 딱 틀고 기다리도록 합죠 춘심이도 데려 오 th ㅔ요&lt;3
149,2년 6개월 만에 다시 만난 룸메 언니(라 쓰고 친언니라 읽음) 일 년 동안 잘 부탁드립니다:-) (at 타임스퀘어 (TIMES SQUARE)) [pic] — 
150, ㅋㅋㅋㅋㅋ 우웅~~ 쪽
151,"봄이 오는 소리^,~ 유후"
152, 부기부기~~ 잘하리 이 써!!!
153, 멋진 선배님...
154, 으히히힛
155,미니미니 너무 사랑스러운 나의 미니. 앞으로 잘 부탁해 미니미니.  
156, 비자림 참 좋지요
157,고마운 내 애인님
158,난 당신을 좋아해요 oppa  Im ur big fans 
159,역시 여름엔 얼린 포도가 제맛 frozen grapes yumm:) grapes purple frozen yumm 
160, 우와우&gt;_&lt;역쉬 청계산! 역시 홍남
161, 이미 미 완존 이쁘다 
162,삼일절 코스프레 보더!! 멋져요  (at High1 Resort 하이원리조트 스키장) [pic] — 
163, 힘내세요
164, 그럼!! 귀여운 현성이는?
165, 귀여운 미미
166, 러블리해요~ 
167, Blue 갑니다.      
168,우잉. 뭐지 이 귀여운 생명체는 cat luv_cat 
169,오늘 날씨 짱짱
170,My super star  120301 윤호 김포 출국 
171," 본가??!!! 아님 현 집..?!! 몸도 성치 않으신데.. 대청소를 참 잘했어요 엄니의 정성 음식 드시고, 으랏차차~!! 감기 뚝~!!  ^__^!!"
172, พี่ตุ้ยก็บอกไปดิ누나 파랑새
173,백화점 갔다가 지갑 잃어버려서 헐레벌떡 찾아다니다 방송 나오길래 안내데스크 갔더니 어떤 고마운 분이 맡겨놓았다. 착한 사람이 더 많은 세상이다~너무 감사!
174, 저런~어서 나아지길 바라!!! 우리 용규 상수 다운 스테이지에서 우는 거 보러 얼른 갈게!! 계속 누나 매우 보고 싶어 하고 있도록! 호호
175,  잘 지내 ~ 욥.     
176, 미미 완존 귀요미~~~~~~ 
177, 아이 라브  청계산 내 안부 전해줘요 곧 만나러 간다고 :)
178,  어디로 가면 언니들 만날 수 있나요? 제가 찾아뵙고 우어 웃어~ 재롱잔치함 해드리고 싶아요
179,낮잠을 잤는데 꿈에 인피니트가 나왔다. 나랑 같이 부산 여행을 하고 집으로 돌아가는 버스에서 기사님께 내가 터미널로 가는 길 안내를 했고 성열이랑 같이 앉아서 가는데 성열이가 앉을 때 다리 드러난 거 덮으라고 자기 겉옷을 줬다. 까먹을까 봐 적어 두 김ㅋㅋㅋ
180, 빡세긴요. 내가 빡세게 느끼니까 그렇게 보이는 것일 뿐 빡세게 안 느껴야지 요까짓꺼 가뿐하다잉?!? 언니도 파이팅.. 파이팅 해서 카레 돈가스 뼛속까지 흡수
181,생강 아이스크림은 여기가 갑  
182,5844일에 랑이한테 받은 카라~아! 행복해 
183,피우자 가지 피자 맛있어요. 
184, 날씨 와방~좋아요! 어디 놀러 감~딱.. 좋을 날씬데...ㅋㅋ 좀 있음 낮 공연 시작이겠다~ 공연 멋지게 잘하고.. 조만간에 또 봐요! 파이팅~^^
185,기야~~ 완전 봄 날씨로구나~~~&gt;.&lt;
186, 윤혜윤혜~진짜ㅏㅏㅏㅏ예쁘다리카피 **
187,몇 달 만에 머리하러 미용실 고고
188,모두 졸업 축하해요!!!!!! 보고 싶어 어 얼어!!! 
189,그리고 삼일절은 내 동생 생일
190,2012 첫 과목 필수 교제들 reading materials for autumn semester 2012:) uni childrensliterature picturebook uws 
191, 완전! 대박
192, 후닝 드디어 내일!!!!!! 그동안 열심히 준비한 만큼 판팅 여훈민 최고&gt;_&lt; 유키스 최고&gt;_&lt;
193,"어제 사촌 덕에 갑자기 열정락서(?) 강연을 들었댠.^^* 김주하 아나운서, 삼성전자 부회장님의 강연 너무 잼있오땽.. 거기다가 어반자카파랑 울랄라세션의 공연까지  "
194,빈 여성의 당당한 걸음걸이  슈테판 성당  빈 
195, 생존신고!!!!!!&gt;_&lt;ㅋㅋㅋ 살아있던 거야?!?!?!????ㅋㅋㅋㅋㅋ 우리 긔염돋는 초희 이제 학생의 신분으로 돌아가 열심히 학교를 다녀야겠네?!?=_=ㅋ 초희의 3월엔 신나고! 행복한 일들만 가득하길~
196,싸랑하눈우리정유니온니가 그려줫슴다!!!!!!!!!!!잇힝 
197, 안녕하세요~~~ 미국에 다시 돌아가요!!! US KISS ME  LOVES HONEY HN!!!
198,       아마도 누이의 들살이 식구 둘이 시군하 행복한 3월 맞으셔요 
199, 괜찬닭~!!!! 출근 전날은 일찍 주무셔랅~!!! 습관은 무척 중요한 닭 닭-!!! 금방 익숙해 지실 거 닭
200, 수고하셨습니다 고맙습니다 편히 쉬세요 
201," 건강은 좋으시죠..??!! 부산 여행까지 다녀오신 것 보면, 건강 이상 무편 안 한 휴일.. 낮잠 주무세요"
202, 다행 욥 당분간 금주하셔욥 ㅋㅋㅋ 영양식만 보충하셔랅~!!!
203, Babo 당신을 사랑해요!!! Have a nice day  
204,Oh yeah!!! Tml is the day!!!  내일 봐요
205, 오빠 이제 한국 도착했죠??아침에 만나서 행복했는데요 제 생얼이라서 부끄부끄ㅋㅋㅋㅋㅋ 편지 받아줘서 고마웠어요♪─── o(≧∇≦) o ────♪다이스키ᅲᅲᅲᅲᅲᅲ에리카
206, 창현아~안녕 오하요 잘 잤어요? 아침밥 먹었어? 많이 먹어(^-^) 오늘은 좋은 날씨구나 눈 녹아 버리네요…오늘은 뭘 하고 있습니까? 창현아…보고 싶어요…오늘도 함께 힘내자~창현아~항상 어디에 있어도 사랑해요~
207, 늘두내선물입어줘서고마워여잉그릭내선물잘받앗죠?변지두잘읽엇죠?
208,    안녕하세요!긋모닝입니다! 오늘은 3월 1일입니다! 301 301!!!!!
209, 저 낼부터 중학교 도서관 출근해요. 그래서 노는 닐의 마지막을 기념하려 영화 보러 왔지요^^ 디스 민즈 워 보러 왔어요^^ 오늘 하루 뜻깊고 즐거운 휴일 되세요! 사랑하는 순탄이 오빠
210, 좋은 아침 oppa!!!!!!  
211, 오빠 3월이네요~빠르네요~ 3월 파이팅 4월에 사이타마에 왔어온다고는 진짜요⁇빨리 coｍe on*오늘도 파이팅 ( ՞ਊ ՞） 리 카피 **
212, 언니는 참 변치 않고 꾸준한 캐릭터
213, 안녕하세요~~~ 오늘은 밥을 먹었어요? Eat a delicious breakfast to give you strength for the day Handsome Soohyun! I love you 
214, 예. 우리는 K-마을에서 놀 수 있도록 제가 일주일 끝에 생각
215, Good morning Handsome Soohyun 굿모닝 멋진 수현 잘 지내요? 너무 보고 싶어요!!! 미국에 다시 돌아가요  US KISS ME are waiting!
216, 그의 보조개는 살인자입니다! 보조개가 있는 oppa에 약점을 가지고 wen u doin taxes?? 여기서? 
217, 아뇨. Abt 30 mins away.. waeyo??? oppa siwon407 여러분 너무 잘 생겼어 ajah fightin !!! 
218,&lt;범죄와의 전쟁&gt;&lt;러브픽션&gt;하정우 형님 보러 가야 해! 
219, aiaiaiaiai my poor 바보  포기하지 마라!!! FIGHTING 
220," ah 너무너무 기분, 아마 oppa siwon이 나를 보낼 때 더 많은 TLC 더 좋은 것이다!!"
221, 아뇨. 일부 oppa의 인두염과 상부 호흡기 감염 필요 TLC... Arrazzo??  
222, 지금은 재미있게 보고 있는 드라마는 해를 품은 달이에요 키 무탈 쿠가 좋아하세요? 그렇구나 나는 좋아하는 배우 많아서 지금은 해품달의 훨 약의 김수형이 좋아해요
223,뜻대로 이루어져라 이얍!!
224, leeMinHo 난 널 사랑해 X__________X لبى ضحگتك وه مافي اجمل من هالابتسامه 
225, leeMinHo 난 널 사랑해 
226,  SUPER JUNIOR suju Arab_ELF 난 널 사랑해 
227, SUPER JUNIOR suju Arab_ELF 난 널 사랑해 
228, SUPER JUNIOR Arab_ELF Eunhyuk 난 널 사랑해 
229, 널 사랑해 
230,Ricky doing 뿌잉 뿌잉.  
231, 난 다 태극기로 보여~ 이모 티는 하날 텐데??  ㅇㅒ들은 보여??? ㅋㅋ 전에 자주 썻엇자나~~ ㅋㅋ
232,  오늘 경기 수고 많으셨어요! 부상은 어떻게 됐는지 걱정되네요 엉엉 푹 쉬고 좋은 꿈 꾸세요! 
233, 아!! 참고로 일정은 강여사님들 맘대로~~지금은 술안주까지.... 땡큐~~
234," 사랑하고 존경합니다 목사님 목사님의 눈물이 주님의 눈물 같았어 요새 성전에서의 첫 예배, 말할 수 없는 감동을 주신 성령님께 감사드립니다 앞으로 일하실 성령님이 정말 기대됩니다 참으로 기뻐하실 예배자가 되겠습니다"
235,빅뱅 bad boy 뮤비 안무 비트 멜로디 구성 표정 분위기 모두 완벽해서 눈을 뗄 수가 없네요. 35년간 무명 곳까지 포함해 들은 가요 중 최고! 프로듀싱짱 
236, 축하드려요!!
237,The opposite me 죽도록 그리운 사람   My home sweet home 
238,오늘도 이런 나에게 많은 말을 주고 기뻤습니다 감사합니다. 많은 동료가 되어 절실히 기쁩니다 많이 귀찮게 하지만 사이좋게 지내주세요 추종자 시가 사랑 지나면 내일도 추종자 시가 행복하고 있어요~에 사랑해 잘 자
239,오늘도 이런 나에게 많은 말을 주고 기뻤습니다 감사합니다. 많은 동료가 되어 절실히 기쁩니다 많이 귀찮게 하지만 사이좋게 지내주세요 추종자 시가 사랑 지나면 내일도 추종자 시가 행복하고 있어요~에 사랑해 잘 자
240,밴쿠버 이후로 이런 감정은 또 처음! 이 감동과 벅참을 감히 어찌 표현하리오. 멋지고 또 멋지다. 방탕한 생활에 한 줄기 빛이 되어주시니 소인 몸 둘 바를 모르겠습니다.
241, 들살이 누이 오늘 출근이신데.. 행복 금잠 하시지.. 어인 행차이시옵까..??!! 전 잠자리로 ㅎㅎ굿 나이트 ~ 스위트 드림 
242,아~~~ 딸기 너무 마시쪄 임신하고 딸기가 젤 마시썽!! ㅋㅋ 요즘 종류를 망라하고 평생 먹을 과일 다 먹는 수준으로 폭풍 섭취 중 ㅋ 아웅~ 울 아빠가 과일가게 했으면 좋겠다!! 맨날 맨날 과일만 배 터지게 먹게 ㅋㅋㅋㅋㅋ
243,      모두 굿 to the 잠자리 드세요 전 이만 잠자리로 ㅎㅎ
244, hey 차선우! 포고 싶었어요! Tweet more alright? 구나의 스! 
245, ◁ 3月 오늘은│ 1日│ 독립만세를 외친 ＼◐／ 기념일!   ▨ 잊지 마시고   ∥ 국기게양~하세요제주요정님~ 행복 꿀밤 하세요
246, ㅋㅋㅋ 응응 오빠아 힘내요~ 우현 오빠 파이팅~! 파이팅 파이팅
247, เอานี้ไป   ㅋㅋㅋㅋ 
248,  한 달도 행복 잘 지켜주셔요 
249,올~ 그래? 역시.. 우리  존박의 폴링이 마마스 건 곡이었다니. 가수는 역시 능력 있는 프로듀서와 작곡가를 만나야 한다.”
250,핡 조인성 뒤태...
251,  동생^^ He is photographer 
252,아빠가 니모를 위해 태교하라고 선사하신 JBL 아이팟 덕 전에 쓰던 아이폰3G는 mp3로 ㅋㅋ 네모 아범이 클래식도 잔뜩 넣어놓고 내가 좋아하는 음반들도 꽉꽉 채워줬다 히히~ 오밤중에 Mr. Children 앨범 빵빵 틀어놓고 신난 미나리 임산부
253," 수고 수고♪(´ε｀ ) 홍기야~~언제 보아도, 엉망진창   멋지네요!( ´ ∀ ` *)♡그러나, 노랫소리가 1번 좋아~~^^너무너무너무 사랑해~~                             에리카♡"
254, 식의 일본어로 이야기하고 있다 모습은 매우 귀엽다정말사랑스럽다ㅋㅋ잘자요muahxx
255, ◁ 3月 내일은│ 1日│ 독립 ＼◐／ 기념일!   ▨ 잊지 마시고   ∥ 국기 게양~하세요 선생님 3월 내내 행복 충만하셔요 행복한 잠자리 드세요 
256,종업 เท่ห์ว่ะ  BAP
257,      개화 만발하는 3월 맞으셔요 
258, 존경하는 숙님고맙습니다◁ 3月 내일은│ 1日│ 독립 ＼◐／ 기념일!   ▨ 잊지 마시고   ∥ 국기 게양~하세요 
259, 굿  3月 내일은│ 1日│ 독립 ＼◐／ 기념일!   ▨ 잊지 마시고   ∥ 국기 게양~하세요
260, 오빠! 너 너무 귀엽다!
261, 응응!! 언니 잘 자
262,     ◁ 3月 내일은│ 1日│ 독립 ＼◐／ 기념일!   ▨ 잊지 마시고   ∥ 국기 게양~하세요 굿 나이트 
263,  ◁ 3月 내일은│ 1日│ 독립 ＼◐／ 기념일!   ▨ 잊지 마시고   ∥ 국기 게양~하세요 행복한 잠자리 드세요
264, 이러고 운동 중!!!  •• so cute 
265,  ◁ 3月 내일은│ 1日│ 독립 ＼◐／ 기념일!   ▨ 잊지 마시고   ∥ 국기 게양~하세요 굿 나이트 
266, 앗!! 이걸 인제보다닛!!잇힝~답멘 감사드립니다~감동~ᄏᄏ 저랑 같이 있는 분들이 하트 백만 개 뿅뿅뿅사랑한다고도 전해달라세요^^우헤헷~오빠~알라븅^^
267,      ◁ 3月 내일은│ 1日│ 독립 ＼◐／ 기념일!   ▨ 잊지 마시고   ∥ 국기 게양~하세요 스위트 드림
268, 귀여워～
269, 너무 귀엽다 
270, 더 이상 용기가 없어! 그 사람 앞에 있으면 작아지는 느낌? 언니야 아이폰이지?
271,"파더, 기대할게요.. 그 모든 것을.. 견고한 반석이 될 수 있도록 도와주세요.알랍빠더"
272,  방긋.!!귀요미 막둥이 조카님..!! 대쪽 정도 조카님 
273, 플사 아름다운 얼굴로 돌아와서 기뻥
