,Unnamed: 0,labels_text,tweet
42,42,__label__5,I do not know. I thought it would be good if I was really nice.
43,43,__label__5,Oh annoying ㅗ ㅗ
44,44,__label__5,I have moved my bot account. Please follow me and follow me. Banned in the men's day. I have an emer that's mother. I get annoyed every time I get a mentor.
45,45,__label__5,"I've never seen it before, but I can not wait to get it."
46,46,__label__5,"I have to live a little longer because of you. It's annoying to say thank you, but it's also annoying that you are gracious. I'll say hello once. So I guess I do not have to meet again twice."
47,47,__label__5,I am very sad to my eyes now. ㅡ ㅡ It is annoying. But why did not I go out to work today? ㅋㅋㅋ
48,48,__label__5,"I do not know, so it's more annoying."
49,49,__label__5,ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ
50,50,__label__5,Just irksome without reason
51,51,__label__5,"It's hard to talk to someone like you. It's annoying to read your thoughts, but I read them first. Oh, and that does not mean I do not want to talk to you right now."
52,52,__label__5,It's annoying.
53,53,__label__5,"Why is it that I am a student today? Why is it that I am stressed on a science discussion and a club, I am a student and I am a student and I am a grade student."
54,54,__label__5,It's right.
55,55,__label__5,"Oh, no referee card, no blind man."
56,56,__label__5,I am only pretending to cry. I am annoyed when I see him acting.
57,57,__label__5,"Ah, the real annoying human promise is late and you have to lend money too - ㅡ ㅡ"
58,58,__label__5,I am annoyed with the heat.
59,59,__label__5,More annoying is that I will not come tomorrow if I come today.
60,60,__label__5,I could breathe lips. I could do better. I'm throwing it on the floor annoyedly by the bow of a slightly frowned expression. Kirner did all the training.
61,61,__label__5,"But when MacMem is not open, I am cute and I am cute."
62,62,__label__5,I will not go to sleep.
63,63,__label__5,It's annoying.
64,64,__label__5,Ao ㅘ nana Fana Shi 개 bloom or annoying really ah ah 발 개 dog pooh ah real ㅋ ㅋ ㅋ ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ
65,65,__label__5,I'm annoyed again because I'm taking pictures
66,66,__label__5,I'm not sure if this is going to work for you.
67,67,__label__5,I do not know well. I heard the sound but I'm so annoyed. I wonder why I see this too.
68,68,__label__5,"I think that the person who can call himself the best is a great person because he is a loser because the fact is that there are so many blisters that are bigger than me,"
69,69,__label__5,Harry. Hogwart. Harry asks you not to come back to your house. He refuses to let him in. He's in trouble.
70,70,__label__5,"It's funny, but as I said before, it's a little annoying"
71,71,__label__5,My friend is annoyed.
72,72,__label__5,"I did not go home. Finally, the irritating ducklings started cleaning."
73,73,__label__5,I do not want to talk to you or talk to you but I do not want to listen to you all day long. I do not want to hear it. ㅡ ㅡ I'm sick and tired of being late.
74,74,__label__5,"Oh, twitter and instagram are real capacity, but I can not delete it, and I can not delete it."
75,75,__label__5,"I do not want to see anyone else, but I do not want to see anyone else."
76,76,__label__5,It is the day that I have to go to club without any condition like today. ㅠ I am really annoyed and can not sleep. ㅠㅠ ㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠ
77,77,__label__5,It's because of the fan. ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ 침 침 침 침 침 헝 헝 헝 헝
78,78,__label__5,"I do not know if my ears are not recognizing right now or not, but it's not good ears. I think there are a lot of people who are annoyed by this. ㅠ ㅠㅠ"
79,79,__label__5,I'm overwhelmed by the fact that it is incompetent. I think this government reorganization is the most irresponsible. Let's think about what is the first thing.
80,80,__label__5,"I am haha ​​ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ I was originally enrolled on weekdays, so it is so sad,"
81,81,__label__5,"Uh, but I'm nervous when I'm playing."
82,82,__label__5,it's annoying
83,83,__label__5,"News is not on the news, so the huge data is sent to the server in a flash. If you do not know, all the articles are irritating."
84,84,__label__5,"So I'm trying to feed fortune nutrition food ㅠ ㅠ If you force me to eat all day and vomit, I will vomit, but if you do not pay, I think I'll stop drinking more ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망 망"
85,85,__label__5,"I do not want to mention it, but it's annoying when it appears in my timeline."
86,86,__label__5,I do not know why I can look at someone who looks like you until I'm irritated.
87,87,__label__5,Do not make me nervous from the morning.
88,88,__label__5,It's not really a joke. ㅠㅠ It's real. It's because the doorbell is broken and people are knocking on the front door. I was just annoyed because I thought it was from the church. But I did not see anything.
89,89,__label__5,"My older brother is working and I am going to work now. Fortress is too hard. I heard that social life is hard, but I did not know how hard it was. ㅠ I want to keep my job because I have difficulty because I have difficulty, but I can not do it. I hate it."
90,90,__label__5,How is Yaimu Kawai and Ipu
91,91,__label__5,"헣 ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ If you do not do well, you will be annoyed ㅠㅠ"
92,92,__label__5,"It is not China, but it is the state that it was the Chinese state which is the state which is the Chinese state. ㅗ ㅗㅗㅗㅗ ㅗㅗㅗㅗ ㅗㅗㅗㅗ 자 자 자 자 자 자 름 름 름 름 름 름"
93,93,__label__5,"Anyway, I'm in the math department. I changed my math class to math class."
94,94,__label__5,"I do not want to go into the fortress house, but my mom keeps nagging me, but do it. Let's do that. My sister is always sibbing. ㅋ ㅋ ㅋ ㅋ ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ"
95,95,__label__5,I'll give you my answer ㅋㅋ ㅋㅋㅋ
96,96,__label__5,Hunger
97,97,__label__5,"I do not know anyone who does not know me because I do not know me when I walk in that road, I do not hate me, it is my family and I get sick and irritated"
98,98,__label__5,"Oh, it's a real pain in the ass. I do not have a word with the bank credit department saying I'm sorry about the mistake of a month or a day. I'll take care of it right away. Speak to your heart. Sorry. Thank you."
99,99,__label__5,I'm so sick I'm so sick I'm mad or mad
100,100,__label__5,"However, my sister who came here for examination today has found my blood vessels well."
101,101,__label__5,It would be awkward to hear someone.
102,102,__label__5,I do not like chocolate flavor.
103,103,__label__5,I'm already annoyed. I saw Jamshil and Kosh in last year's work.
104,104,__label__5,I'm sorry.
105,105,__label__5,"Oh, I have a sore throat and I have a sore throat ㅜ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ"
106,106,__label__5,"Endless was really annoyed, but I still think it is the best work in my head."
107,107,__label__5,"Everything they say is annoying. Come on. Whether you poke your eyes with a baton or a boat, it annoys me. It's disgusting to see you orchestrate my face."
108,108,__label__5,I'm sorry to hear that.
109,109,__label__5,"I do not think there is a rule, and I do not want to have any kind of mutual understanding between people who want to learn a little bit anyway. If you're unhappy, people are annoying to repeat attacks without doing anything."
110,110,__label__5,He's so cute.
111,111,__label__5,"I'm sorry to hear that I'm too late for the flight to go to Boston, but I'm delayed for two hours. I'm so annoyed because I'm kind and I explained it in detail."
112,112,__label__5,"Of course, I am an annoying panda."
113,113,__label__5,It's a bit of a game to play with.
114,114,__label__5,"I just see you ㅋ ㅋ ㅋ ㅇ ㅇ is gongtol il because it is a concert performance, but it is annoying because it only puts on a performance by a little girl."
115,115,__label__5,"Downloading is annoying, and as the purchase limit is released, the expected download time is reduced to half"
116,116,__label__5,"Micky, I can not see you fucking blah blah blah blah blah!"
117,117,__label__5,But it's not funny. It's hard and annoying.
118,118,__label__5,ㅋㅋㅋ ㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋㅋ
119,119,__label__5,ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ
120,120,__label__5,"The most annoying thing is if I made a mistake, I thought right again."
121,121,__label__5,"I do not know anyone who has not heard it. If you hear how annoying your kittens are, they will want to twist their fingers."
122,122,__label__5,petulance
123,123,__label__5,Hello. It's really cold. It's a hot season for me of summer birth. Is the Olympics soaring?
124,124,__label__5,You're a little annoyed. Stop it now. Keep your eye on it. Stay tuned. Do not lie to me. I'm a little tired. Stop showing me to show you what you are. Really live your life.
125,125,__label__5,It is a success that I wear a Kashipa hood
126,126,__label__5,Meeting Super Junior to return our security We can not forget you
127,127,__label__5,I confuse myself with my writing How can I do this Oh I'm too lazy
128,128,__label__5,"You were really good. Last week, junior high school students are so ridiculous and irritable when I am in class. I feel like I have been tortured in my class for four hours. I want to put them in."
129,129,__label__5,I'm sorry I do not know what to do. I do not know what to do. I do not know what I'm talking about. Annau ㅡ is offline ㅜ ㅜ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅡ
130,130,__label__5,"Ah, that shows that Tamla is bored, but I have not been able to do anything with her."
131,131,__label__5,I do not have anything to do from morning until now. It is really a rainy day. I am really annoyed. I am upset and I want to cry. I am going to cry. How can I say this stuffy heart?
132,132,__label__5,"I just woke up with my camera ㅡ ㅡ I'm so annoyed,"
133,133,__label__5,"I do not know very well, I do not know it well, and when I see why, it's annoying. ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ"
134,134,__label__5,I can not stop thinking why I keep forgetting that I'm sick.
135,135,__label__5,ㅡ ㅡ Furious
136,136,__label__5,Sakura Ichihara seniors Today's Friday Ichihara Haha The weekend is finally approaching I will go to play after school I'll go to Sakura baseball Ichihara irritation
137,137,__label__5,Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhahhhhhhhhhhhhhhhhhhhhhhhhh
138,138,__label__5,"I'm nervous from the morning, you were right."
139,139,__label__5,"Humor After a long absence, I went to a reunion meeting. I went to a reunion meeting with my wife. Honey. Honey. Darling. I expressed my affection. I asked my friends why they call me so angry."
140,140,__label__5,I have nothing to do with Hanar and the devil hurting. I moved my wings annoyingly and nodded my head. It's so heavy. I'll hang on to the devil.
141,141,__label__5,Your destiny today will be annoying. Please endure. Please show me the end of your patience.
142,142,__label__5,"They used to be angry all the time, but nowadays I am the most angry."
143,143,__label__5,You make people nervous.
144,144,__label__5,"Oh, it's boring, boring and annoying."
145,145,__label__5,Burning Friday Night Gangnam Station Carnage
146,146,__label__5,"Jung Woo-sung's dog drip, which is being captured on the internet these days, is looking at the face and dren drip, and it makes me nervous while I am feeling irritated."
147,147,__label__5,it's annoying
148,148,__label__5,Come to Niigata's brother Niigata Niigata Maulina
149,149,__label__5,"I do not know what it is, but I do not like it."
150,150,__label__5,I was really excited about the comeback.
151,151,__label__5,I do not think it's such an annoyance.
152,152,__label__5,It's bad.
153,153,__label__5,"I also got a strange tweet, and then I joined my followers with Dory Fly. The contents of the gang are stalking, please stop it. Me and me all the time,"
154,154,__label__5,I do not feel sleepy enough to get really annoyed.
155,155,__label__5,It is harder than drama and gets off.
156,156,__label__5,"It's annoying from the morning, Dad. Why do you ask me all the time?"
157,157,__label__5,So I'm a little annoyed.
158,158,__label__5,I do not like it. I just do not like it. The cacao game is annoying too.
159,159,__label__5,I'm annoyed
160,160,__label__5,Mabinogi Halloween Adventure ㅡ ㅡ
161,161,__label__5,"I do not think it's a real problem, but I have children who are sleeping, so I say that you should cut down your voice a little, but you do not hear me, you do not hear me, you do not even know how to do it, there are kids who sleep with you. ㅋㅋㅋ ㅋㅋㅋ"
162,162,__label__5,It does not matter if it's berry because it's berry. It's what it feels like to be me.
163,163,__label__5,"DEMETE Event When I do it, it's a mannequin, but I only need to make a lame, but when I'm sick, when, when, when, when, and when I'm sick."
164,164,__label__5,I like it very much and it is nice.
165,165,__label__5,I was so annoyed about going to a party today.
166,166,__label__5,TIMON:
167,167,__label__5,"I want to get rid of all the bad ones. I want to get rid of all the bad ones. Oh, I will quit and I will go near Gangnam. Fucking"
168,168,__label__5,It does not work properly and does not translate to twitter
169,169,__label__5,It's annoying with this ending.
170,170,__label__5,"No, it's a genie music awards."
171,171,__label__5,I just got home from work a while ago and it's refreshing after a night out.
172,172,__label__5,"I came to my house and went to eat and go to the shoe. I came to the city at the end of the day, but everyone is asleep. I do not care if the movie was not funny. I was frustrated by the funny part."
173,173,__label__5,ㅠㅠ ㅠ ㅠㅠ ㅠ I want to get rid of the annoying but I do not have an opponent today
174,174,__label__5,Asshal bus driver article
175,175,__label__5,After being annoyed
176,176,__label__5,ㅋㅋ ㅋㅋㅋ crazy me what is it ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋㅋㅋ
177,177,__label__5,"I do not wake up in the morning because I can not get up early in the morning, so I do not want to be bothered to study."
178,178,__label__5,I do not see you playing spooky or playing games.
179,179,__label__5,You really look at that pure-looking passion.
180,180,__label__5,So it's more annoying.
181,181,__label__5,"It's really annoying when you do not have rice. So when you're throwing in the flames of the swan when you throw it in the flames, the fireplace in the studio's work room is gone and then comes out again."
182,182,__label__5,I do not think so.
183,183,__label__5,Because it's Nairn's Leon Queen.
184,184,__label__5,"Harry. When things get annoying, I close my eyes on the bed and think about what I was doing. I wake up and it was real dreams. It was a real dream. When I steal my sweat, I feel better. Conrad."
185,185,__label__5,It's so good. Air Force. Perfect. Clear. I've come back. Two intelligent officers. Officer. I have to go to the next place. I have to close it. It's a navy.
186,186,__label__5,Let's just go where the circle diameter is.
187,187,__label__5,I am as annoyed as I am after the accident.
188,188,__label__5,I was worried that the iPhone was in a coma on my way to work and suddenly I was worried about it. I reset it and it resurrected again. I was frustrated.
189,189,__label__5,it's annoying
190,190,__label__5,I do not know what to do.
191,191,__label__5,"ㅋ Thank you now The annoying mathematical source does not stay in the classroom Disadvantages Because there is not Sam,"
192,192,__label__5,I know what I need to do. Cha-am I do not know what my heart is.
193,193,__label__5,"It's a real Uji guide, and it makes me tearier and double-kicked."
194,194,__label__5,ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ
195,195,__label__5,"No, Timon. What are you doing? It's really annoying. You're knife after today. I love Wemp."
196,196,__label__5,"As a result of Naver Yu X team's research, do not get annoyed by the efforts of Naver Yu X team trying to maximize user's experience."
197,197,__label__5,I know my underwear is underwear I'm annoyed
198,198,__label__5,I feel like I'm getting tighter now.
199,199,__label__5,"I was so unlucky and I had a bad dream, so I went to the airport to go to Japan, but my ticket was not confirmed, so I dreamed I would get off the plane."
200,200,__label__5,"The day that my mind and body are exhausted like this day,"
201,201,__label__5,"Yes, it's Osan, Gyeonggi-do, and Seoul is one hour away. ㅠ ㅠ ㅠ ㅠㅠ"
202,202,__label__5,I have moved my bot account. Please follow me and follow me. Banned in the men's day. I have an emer that's mother. I get annoyed every time I get a mentor.
203,203,__label__5,Annoying
204,204,__label__5,I told you not to be annoyed.
205,205,__label__5,"I'm a peek, but I'm cluttered."
206,206,__label__5,ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅜ ㅋ I can even tell my sister
207,207,__label__5,I can not help but tossing the phone and throwing it in the phone.
208,208,__label__5,Lee Hyo Ri sucks
209,209,__label__5,I went to a training camp in a taxi and went to work and asked me if I could work there because I said I did not. I did not eat a harem and how do I buy it?
210,210,__label__5,"No, it's not that way. I did not answer why I did not respond. Why are you so late? I am so annoyed and I am sorry and I have been pushed back a hundred times."
211,211,__label__5,Lou did not do it.
212,212,__label__5,It's annoying. It's annoying. It's annoying.
213,213,__label__5,I think it's annoying because I think
214,214,__label__5,ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ I want to see this year
215,215,__label__5,Do not be bothered. It's annoying.
216,216,__label__5,It's the hour. It's a classroom lesson. It's annoying.
217,217,__label__5,"So let's do this. ㅋ If you come in early, it will be over soon. You will not know when to come. ㅜ"
218,218,__label__5,Computer from now on
219,219,__label__5,Your destiny today will be annoying. Please endure. Please show me the end of your patience.
220,220,__label__5,Almost there. Almost there.
221,221,__label__5,There is a positive power around me and there is a child who is badly hungry. I really want to beat him. I feel the reality and face the reality.
222,222,__label__5,You've done a lot of hard work recently.
223,223,__label__5,Denzel Washington's acting is annoying to me.
224,224,__label__5,petulance
225,225,__label__5,"I did not know this was going to be the last vote, but it's annoying. ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ"
226,226,__label__5,I'm irritated too.
227,227,__label__5,ㅆ ㅂ ㅅ ㅂ ㅃ ㅃ ㅂ ㅂ ㅂ ㅂ ㅂ 나 나 나 나 나 나 나 나 나
228,228,__label__5,"Be careful, sensitive and stressed Do not get annoyed Let's live positive"
229,229,__label__5,Annoying ah
230,230,__label__5,ㅇ a fantasy improvisation right hand ㄴ continue twist ㅕ
231,231,__label__5,I do not have time to go to Yongsan.
232,232,__label__5,I feel a lot of irritation and sometimes I feel it is hard to play with my mom.
233,233,__label__5,"In the election solidarity process with Choi Moon-sun, the people who tolerated the Olympic Games in the eco-friendly way,"
234,234,__label__5,"I did last yesterday because there is a final in front of the last Futeuto prostitute. I have a lot of twitches, so I have a lot of suffering and a lot of suffering from all over the world."
235,235,__label__5,I wonder if Hitler or Stalin's daughter will be respected.
236,236,__label__5,ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ.
237,237,__label__5,I'll kill you personally. Kwaku. I'm so hot. You're my brother. You have to be kidding. Reduce your irritation. Reduce your anger. Decrease your temper. I'll have a nice heart. Smile. Yes. I'll be born again.
238,238,__label__5,I'm working hard.
239,239,__label__5,I have not been able to see the snow since I was in the southern part of Hoho. It may not be that the spring comes late.
240,240,__label__5,"If you are angry or irritable, but not only your voice, but you are playing with mischief and you are hesitating because of the guidance voice. And I'm strangely confused about left and right."
241,241,__label__5,ChaDing dragged Agro and ran away on the kickboard.
242,242,__label__5,I visited the App Store and it was full of irritation.
243,243,__label__5,I can not say I do not like it because I have to face my face with a really bad person and it makes me irritated to pretend to be friendly.
244,244,__label__5,It's the first time I've been annoyed by Mr. Oh Ji-eun.
245,245,__label__5,This is because of my ridiculous personality that responds to one family and two friends in a sensitive and affectionate manner.
246,246,__label__5,Everyday Study Study Study Really annoying ㅜ ㅡ
247,247,__label__5,it's annoying
248,248,__label__5,"Oh, it's really strange, it's so annoying."
249,249,__label__5,It is the best thing for you because you are the best god of your life.
250,250,__label__5,"Oh, it's so annoying."
251,251,__label__5,I do not like it. I do not have progress. I need to work on my brain. Think about it.
252,252,__label__5,"Ah, this is really annoying."
253,253,__label__5,I am annoyed that you will be shocked by the members who come in tomorrow.
254,254,__label__5,Your brutal thirsty word Your annoying word Your voice Blue White back Tumi Amethyst Crazy
255,255,__label__5,Something is uncomfortable.
256,256,__label__5,I'm so annoyed when I get an error
257,257,__label__5,"Stop the event, let the event stop annoying"
258,258,__label__5,"Laptops are really slow and annoying, but I think I can make it faster."
259,259,__label__5,"The reason is that when I was a high school student, there was a child who smelled sweating very badly. He smelled so badly that he stayed there for a long time. But when he heard the words of the half-kids, he was shocked. I am."
260,260,__label__5,I do not like her.
261,261,__label__5,It starts from the morning and it gets annoying.
262,262,__label__5,Do not sit still.
263,263,__label__5,I hear an annoying cry somewhere.
264,264,__label__5,"Oh really annoyed ㅋ ㅋ ㅋ I want to see him, I can not even say that I have to stop the book ㅋㅋㅋ ㅋㅋㅋ"
265,265,__label__5,"When I saw the original, I was annoyed with the fluorescent yellow and yellow jeogori."
266,266,__label__5,The character who calls for the ginseng fist The crowd The audience The blood pressure goes up Spooky explosion
267,267,__label__5,"Nah, it's annoying."
268,268,__label__5,"Oh, it 's a bullshit when you come out to a real press conference. It' s a bullshit, it 's a shit, it' s a trial and then you pay for your crime, then you disappear from the earth. It 's irritating you to be on the earth too."
269,269,__label__5,Yesterday I was so hungry that I scissors the kitchen and scratched my anger on my hair.
270,270,__label__5,"I'm sorry, but I do not know what to expect."
271,271,__label__5,Do not be so annoyed.
272,272,__label__5,"Oh, it's really annoying. I paid for the checkout and told me to come out and check it out at any time. I came today and can only do it at dinner time. It's only time for me. ㅡ ㅡ Completely annoyed at work."
273,273,__label__5,I do not know if I will be able to turn to my mother-in-law's notes. ㅠㅠ
274,274,__label__5,I am very sick of memories and I am very annoyed.
275,275,__label__5,Annoying
276,276,__label__5,"Every day, I started to feel a cold feeling as I got stuck on the inner wall of my throat on the day before practice."
277,277,__label__5,I ended up yesterday.
278,278,__label__5,I do not know why people are so annoying. I do not know why they are so hot.
279,279,__label__5,I was surprised when I was still surprised by the company.
280,280,__label__5,I do not want you to be so tired and irritable when you have a couple of occasions when you have a couple who are obsessed like a psycho.
281,281,__label__5,It's a little annoying.
282,282,__label__5,"I can not see the map of North Korea and I can not find it in Google Earth. I do not know the details of what I did. Even though I can not get more information about it, Whether or not to upload"
283,283,__label__5,Now I'm sick of the time I'm in charge.
284,284,__label__5,I am allergic to the smell of asking if I have a child or a child. I do not want to have a relationship with my boyfriend for the rest of his life.
285,285,__label__5,Announcement ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ
286,286,__label__5,I hate to say it's a rock.
287,287,__label__5,I do not know how to take it like this. I'm just saying that I'm just annoyed at why I have to be kicked out.
288,288,__label__5,I need to find tweets I wrote
289,289,__label__5,"I am angry because I am angry because I feel angry. Why was it today? If it was tomorrow,"
290,290,__label__5,"I came to work yesterday just before leaving work and I was very annoyed at the time. I heard from all the members of the team today that I was so thankful to everyone yesterday. Actually, it is not hard for me to say a few words. I want to be an adult"
291,291,__label__5,Especially in the movie theater.
292,292,__label__5,But it looks like this is only me.
293,293,__label__5,I'm annoyed ㅠ ㅠㅠ
294,294,__label__5,it's annoying
295,295,__label__5,I do not know what to do.
296,296,__label__5,"I'm so horny to join the show phone care, and why subscribers are not allowed to join since work."
297,297,__label__5,"Oh, what's wrong?"
298,298,__label__5,"I do not feel that enthusiastic, but I feel like a gypsy gypsy dancing in a melancholy music."
299,299,__label__5,I was out of yesterday because I was detached from the hair and lining inside the jumper. I left it because it was cold and it was cold today. It was so hot that I took it out again at school. But I am not feeling well today. I am very tired and I am very tired.
300,0,__label__5,The spirits of the earth Nowadays humans are so terrible that the land is so annoying
301,1,__label__5,I'm going to do it if I catch a cold.
302,2,__label__5,"Oh, I'm going to sleep again. I miss you too. When you wake up now, when you sleep again. Oh, it sucks."
303,3,__label__5,I'm crazy because of you. I'm crazy because of you.
304,4,__label__5,Share Sam Eyeball
305,5,__label__5,I do not want to ask you what station is every station.
