,tweet
143,"     죄송한 말씀 올립니다.!개개인 문안 인사를 올리려 했으나, 그냥 함께 인사를 올리겠습다.!이해해 주시리라 믿습니다고맙습니다"
144,"      송구스럽지만,조석 문안 인사를 함께 올리겠습니다이해해 주십시오감사합니다잠시 후 뵐께요"
145," 고맙습니다~~!!  여건이 그리 되었어요!!  그러나 팀원은 부득이한 경우만, 출근합니당 ㅎㅎ 지치고 힘들때가 많지만, 당분간 견뎌야 할 것 같습니다깊은 애정 고맙습니다좋은 날 한번 뵈올께요"
146, 아이쿠 죄송~~꾸벅!!! 언제부턴가 예능 프로가 관심 밖으로앞으론 명심~~!!ㅎㅎ즐토밤 보내세요
147,Remember this place?슈주보고싶어~      
148,이홉시간을 의자에 앉아있었더니 허리가ㅠㅠㅠㅠㅠ 파스붙여야겠다. 
149, 그런 기대는 버린지 오래입니다 크흡 
150,한국에 가고 싶어
151, 무사히 돌아와서 기쁘오~~^^<=요거이 기쁨의 눈물... ㅋㅋ 컴백과 동시에 빡센 촬영 즐겁게 하시오!! 그댄 프로니깐.. ^^
152,일라이  
153, 크…맛있겠다 
154, 아직 감기가 낫지 않습니다. 오빠를 만나기까지 치료합니다! 하지만 만날 수있는 것은 ... 3 월 15 일입니다 ...
155, 머리아파나즁에
156, 안돼
157, ㅋㅋㅋㅋ왱 내기운 못받앗쪙?
158,그에 이어 제가 웃을 때마다 생각나는 꼭 닮은 캐릭터가 있다고 하셔서 뭔가했더니 이거였어요.화장해도 소용없나보다... 
159, 오퐈도 토니안 팬들과 식사회한번 해주삼!!!!!!!흑
160,오늘 후니 쳐맞른겨?? 
161,배고파 
162,옆에서 자꾸 꼬깔콘 먹는다 시끄려 배고파 냄새나오엠쥐.... 앙 이따 저녁 머먹지 힝
163,  창현왕자(o^^o)안녕~~^^*오늘 너무너무 춥다~~오늘도 화이팅( ´ ▽ ` )ﾉ미리
164,"나는 동해를  놓치지 않을 걸세 있다고 생각했는데, 지금 그를 그리워지기 시작 했어! "
165,이게뭐지. 요즘 내 트윗은 이벤트 신청용으로 전락한것 같아..미안
166," 언니~, 회신 감사합니다!생 크림, 딸기!최고의 조합이네요!"
167,로지 예뿌다~ 아주 반짝반짝 하는구만? 노래도 신나고 WE의 홍일점 답게 겸디겸디.. Party 많이 들어주세영! 
168, 두타? 부러워  나도 가고 싶어  한 번 적이 없어 
169, 앗......
170,아진짜ㅜ짜증나ㅠ.ㅠ난열공하고있는데...
171,"     허걱..이런 바붕이 저 말입니다!! 무한도전 이거 예능프로죠??!! 흐미, 전 4주째 토욜 근무하신다고 착각을지송일케 위트가 없어서야"
172, 마이 허전햇다 아이가~!!  근데 배꼽 빠지게 많이 웃고 오간 햇어 
173,오늘은 투약만하려면 환자들에게 전화가...타이밍 기가막히네
174,너모 더워요~~~~!!!!!!
175, 이이그..!!! 그 아찌 모른 척 하시고...맛점하셔요주말 행복지으세요
176, 축하해요 ㅋㅋ 울엄마가 가까이 있으면  술한잔 사고싶다고 하네요 너무 멀리있어서  흑흑 
177,침묵 .... 
178,눈 뜨니 더 이 불안증세 
179, 군사 제발 가지 마 서비스에 이동 하지 마십시오 
180, 같은 넓은신 도량제주의 행복과 대한민국의 행복을 지어주셔요넘 거창했나욥..??!!제주 강정에 많은 애정을 가져주세요
181," 주말,휴일도 없으시죱..??!!겔러리는 명절 빼고 열린 공간..??!!수고 많으십니다정서함양에 열정 쏟고 ㄱ ㅖ시다능    "
182,  화장실 들어갈때랑 나올때 틀리단말이 딱 도로민주당 얘기
183,"박원순 시장님, 한명숙 언니좀 정신차리게 해주세요. 원래 양보와 베푸는건 많이 가진 쪽이 하는것 아닌가요   도민당하고 통진당 연대 결렬 이유(통진당 대변인 브리핑) "
184, 네 여동생이 걱정이어서 … 。・゜・(ノД`)・゜・。안 괜찮아
185, 죄송해요 제주 푸른바다 여신님불초소생 너그러이 용서하옵소서 OTL ( 절하는 모습)~~ 비온 제주하늘은 어떠한지요분당은 흐림요행복한 주말 보내시옵소서문안인사 잊지 않겠사옵니다행복지으소서
186,존박-그 노래 동류르님을 어제 밤 예찬~오늘도 예찬존박 목소리도 예찬
187,어제 네시쯤 사랑니 뽑앗는데 아직도 피가 줄줄 난다...
188, 케빈 Gd morning~~^ㅇ^오늘은 오사카~못가서 미안해요!!일이땜에ㅠㅠ아쉽당~오사카는 비가 오고있을거같아요>_<추우니까 따뜻하게 입고 감기조심해요~!!오늘도 홧팅^ㅇ^♡♡
189, 만나고 싶어요 갈 수 없어서 정말로 정말로 슬픕니다
190,아구 보고싶은 내새끼들 
191, T~T chingu .... I MISS HIM A LOT 어떻게 해야 합니까 
192, 오 마이 페이보릿너 마음씌여서 전화했는데 안 받드라 흥하나씨한테 씨디는 받았어?
193,일하고 퇴근하고 하루종일 방콕할테닷!! 
194,에이씨!! 감기 걸린 것도 아니면서 코가 막혀 잘 수가 없어 오늘 엄청 일찍 일어나버렸다 ㅠㅠ 앗!! 내가 이러고 있을 때가 아니구나!! 다리 치료 받으러 가야지!!!
195, 오늘도 레코딩일까？매일 수고하시다 몸상태괜찮음?⁇어떤 노래가 되는 것일지 기대하고 있습니다★ゆーこ★유코★
196, علـق معي ㅠ_ㅠ. 
197,흑흑...ㅠㅠ잠이안와 ㅋㅋㅋㅋ오떠케...ㅠㅠ아앙
198,얼마나 행복한지몰라 
199, ㅠㅡㅠ 전 약한 삼촌입니다!!!!   이젠 사진  절대 열지 않습니다 이상 끝!!!! 긋 잠
200, 엔엔디 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 당쥬님또깨써여?
201,ㅇㄹㅎㅈㅊㄱㄱ ㅇㄷㄴㄱㅇ ㅈㅁ ㅅㅍㅇㅇㅇ.
202,아..쇼핑은 끝이 없어라~~
203,"  지금 씨제이홈쇼핑에서 서유럽 4개국 9일 여행상품을 189만원에 판매하고 있음. 무이자 10개월 ㅠㅠ 영국, 이탈리아, 스위스, 프랑스  "
204, 해라님즐겁고 복된 여행 되세요 참 고맙습니다! 해라님께서도 늘 가르침을 주시네여부끄럽게 만듭니다문학에서~독립투사로고맙습니다가족과 함께 행복한 시간 보내셔요
205, 누나도 구석탱이에서 응원했오 아까두 말했지만 동혀니가 젤루 섹시하고 멋졌다~ 동혀니밖에 안보여~_~ 
206, 굿 나잍~행복 지킴이 나비님 늘 행복하소서그리고 늘 건강하소서또한 늘 그 자리에서 계셔요고맙습니다오늘은 사진 없어욥 ㅎㅎ 부실한 채력탓에...!!안녕히 주무세요
207,울엄마까지 챙겨주구 고마웡
208, 지독하게 보고 싶다
209, 열심히구나 좋은결과가 있길! 노력은 배신하지 않는다구 :) 날도 많이 따스해지고 언제 만나서 차 한잔 어떠니?? 얼굴 잊어먹겠음 
210, 아니ㅠㅜ  Hottest 3기 팬미팅 와요? 그때 볼 수 있음 보자
211, 아휴~ 넌 세미나 회의 지겹겠다 
212, 걍금... 토욜까지 일해요
213,나도 이제 늙었다.... 
214,안녕 빈! 언제 다시 올 수 있을까?  
215,유일한 불빛켜진 곳 찾아들어가보니 gym이더라. 영어 통하는 사람 없어서 좌절했는데 가능한 여직원 찾아주더라. 그 여자애가 택시 불러주고 아우.. 포린트 화폐도 다쓰고 없고 카드 안 된다는데 뒤져보니 딱 15유로 있어서 탈 수 있었어
216, 미미 이뻐 죽는줄 이렇게 이쁜 미미를 내일 못본다니ㅜㅜㅜㅜ
217,꺄악 >_< 모범생들 이벤으로 당첨된 플북 ㅎㅎ대현배우님 아직 싸인 없으신가보다 나름 기여운 이벵 당첨된 사람들 이름도 넣어줬음 하는 아쉬움 
218,อาทิตย์หน้าจะส่งให้แล้วน้าแต่คงสู้ไม่ได้!!   감사합니다 ㅠㅠ 멀리일본서 와주신것도 감사한데 선물까지 ㅠㅠ 잘먹고 잘쓰겠습니다 조심히가세요 
219,방송 못봐서 속상
220,간장 : 설탕 : 식초 : 물 = 1:1:1:1양파 + 청량 썰어넣고2시간이 지나면 새콤 달콤 칼칼~ 맛있는 양파짱아찌~아...보기만 해도 군침이~낼 아침에 
221,괜히 이동했나?? 내가 선택한 일이지만.. 쩝.. 이래서 사람일은 앞을 알수 없다고 하나???안그래도 답답한데 더 답답해졌다 
222,  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아냐 그렇지 않어 
223, 고기가 익고 이써효~! 침이 질질.... 
224," 중국에서 더욱 인기가 되어도, 일본에 들어와 줍니까? . 조금 걱정 "
225,"    버찌양~~빼면, 모두 동시대 ㅋㅋ 섭섭말우 버찌양낼도 전 아마..늦게까징  일욜은 그린미팅 엉엉힘겨운 샐러리맨의 일과임돠"
226, 사랑하는 사모님 교회가 5주년이 됐다네요 ^^ 감사해요...감사합니다...저는 교회와 함께 사모님 없이는 설명될 수 없는 아이로 성장 되었습니다~ 주님의 비젼으로 일어나겠습니다~사랑합니다
227," 오늘 밤 밥은 ""오코노미야키""에요^^*정수~~~, 오사카 그립습니까??오랫동안, 오사카에 와 있지 않지요?오사카에 들어오면 맛있는 음식물 사 드린다ㅋㅋㅋ아! 내일부터 한국에 스마일이 상륙"
228, 아정말 생명과 같은 우리 교회~전 비록 그 순간에 없었지만~이미 교회를 너무 사모하고 또 주님이 저에게 주신 지켜나가야 할 사명으로 느껴집니다~거룩한 소망으로 교회와 함께 일어나겠습니다~교회를 주신 주님께 감사 올려드립니다
229, ㅋㅋㅋㅋ 오빠!!! 
230,싫으면 그냥 싫다고솔직하게 말해봐....
231," 멸치오빠, 너무 보고싶어요"
232,토리가 중성화 수술 받는다
233, 아...  힘내세요! 화이팅~! ^^ 캬요캬요! ㅎㅎ
234,요즘 스트레스로 얼굴 푸석푸석 ㅠ입술도 따갑고 아프다 
235,살려줘
236,세수를했다. 거울을봤는데 피부가 썪어있다. 
237,  난 울공주님 다음으로 이뻐함미다. ㅋ
238, 흐엉엉엉 거리가 멀어서 안되겠어요 
239, 아 그렇군요 얼른 사버려야겠어요! 고민의 늪에서 빠져나가야지
240, 전 위룰만으로도 벅차요. 
241,으 머리아파 왜이러지 감기인가
242,와이파이가 잘 안돼 
243, !!힘내용
244, ㅠㅠㅠㅠㅠㅠ 제가 수학시험은 벌써 떨어졌어요.... ㅠㅠㅠㅠㅠㅠ 
245,배아파.아랫배안에서 무슨일이 일어나는 거야?
246, 3주 ㅋㅋㅋㅋㅋ 너무 일찍들떠있었더니 이젠 설렘이없어졌어
247,해야할일은하지않고 쓸데없는일을하나해버렸다 뭐하는짓이냐!더단단해지자...!!
248,오늘 매직해야되는데 미용실 어디로가지....미치겠네
249,보고싶어
250, 현우대사 노래 외운거 아깝디아니한가~!대구와죠 와죠 꼭와죠  .재밌게해줄께영 
251,우앗 우리 임여사님 그림. 요즘 그림 배우는데 감상하라며 사진 찍어보냄. 엄마가 그림 그린다고 우리 다 버리고 떠나면 어떡하지?  ㅋ 
252, 난 라맹 회원님이 20대의 마지막이라고 쓰신줄 알고 장단 맞춰드렸는데 이놈의 난독증...
253, 진짜?? 아 놔 코뿌리는약도 깜빡 두고왔어~ ㅜㅜ 일단약먹구 물마니먹는수밖에.. 여봉이 병수발이라도 들어줌덜아플텐디.. 나혼자 너무 ㅠㅠ 흑! 힘들어~~~ 엉엉
254, ㅇㅇ 경진이가 결혼한다.나중에 경진이가 애를 낳으면 내가 할머니가 된다는 생각하면 결혼반대운동을 하고싶다. 
255," 단점..배터리 ㅋㅋ가득 충전해 다니세욥 주변기기도 분실이나 파손되면, 비싸다능 ㅋ존 하루 보내요!!! 폭풍회의 시작함돠휘 리 릿~~!!!!"
256,  효주야! 영광오빠! 너무너무 축하해! 꺄! 진짜 완전 최고 멋짐
257, 12시에 커버걸 음원 공개됩니다^^  생겻다!
258, 지금부터 모의 시험입니다 ... 국가 시험 전 마지막 ... 노력하겠습니다화이팅주세요~ㅠㅠㅠ
259," 오늘 하루종일 밖에 있어야해서 꼭 갖고 나왔어야 했어요 ㅠㅠ 하나에 정신 팔리면 다른건 꼭 잊는 그나저나 솔지님 아무래도 저랑 같은 대학인거 같아요, 저는 졸업했지만 :-)"
260,우울   오빠!!  어떻게해요??? 보고싶다 
