,tweet
23," 오빠, 싱가폴애 언제 오실 건가요? 오빠 보고 싶어요! "
24," 오빠, 싱가폴애 언제 오실 건가요? 오빠 보고 싶어요! "
25,  수현 씨~~저는 오늘 회사에서 interview 했어요~~근데 잘못했어요~~너무너무 슬펐어요~~今も 기분이 너무너무 나빠요~~
26, 사진이 없으면 멘션 못 받을 까요? 
27,짜증 짜증 짜증 짜증 짜증 짜증 
28, 지금 시점에 3아이들은 다 정신 못 차리고 그러나 봐요ㅋ 실은 3에게 집착 아닌 집착을 하는지 영 다른 건 눈에 들어오지도 않네요 
29, 나야~~of coz la~~
30, 수현 씨~~저는 오늘 회사에서 interview 있었어요~~근데 잘못했어요~~너무너무 슬펐어요~~今も 기분이 너무너무 나빠요~~
31," 오. 많이 길었나 보다. 난 앞머리를 옆으로도, 앞으로도, 양쪽으로도 할 수 없는 (거지 같은) 상태로 벽만 보면서 살고 있음..."
32, 머 하심? 난 사진 보고 있음... 조상훈 님과 서현우 님. 므찌심~~언제나 다시 볼 수 있을까 나 
33,대답이 없는 건... 싫다는 걸까!?? 
34, 울 집 드롱기   오빠가 선물해준 사랑의 하와이안 코나 = 천하무적 커피 맛을 보여주는데 
35, 음...... 혹시 배운 거 써봤어??? 
36,판다 정말 못생겼다..... 이젠 주름까지.... 
37,กูลืมจ้าาาา  ㅋㅋㅋㅋ
38, ㅠㅠㅠㅠㅠㅠㅠ홍콩에 둘어갈 거야... 나 슬프지만 종현이 도 만나고싶어ㅠㅠㅠ 
39,아직도 당신을 기다리고 있는 제 자신이 미워요! ㅜㅜ 
40, 오빠 보고 싶어~ ㅠㅠㅠㅠ.........  잘 자요
41,ㅠㅠ 네가 이렇ㄱ 멋있는 줄 몰랐어..;;다시 만나고 싶다
42,후잉 자려고 누었지만... 보고 싶다
43, 취중입니다... ( 저는 지금 지금 솔직하게 통진당으로 이동 준비 중...   )
44,보쌈 먹고 싶 다음.. 다이어트 다이어트 다이어트 다이어트 다이어트 다이어트. 보쌈은 개나 주자
45, 제발!!!  
46,저는 그리그가 싫어. 
47, stomach 왜~~? 아 왜 아파~~!?? ㅠ_ㅠ
48, 십구금콘 티켓팅 성공하셨건 열.. 티켓팅 근처도 못 간 할매미테 후기 좀 굽신굽신 
49,어떻게? 
50,그래도 요것만 있으면 안심.  
51, 흑 제 몫까지 다 만끽하세요. 전 오늘 창문도 없는 곳에서 저녁때까지.... 
52, 괜찮아요 오빠? 걱정해요
53,흠.... 점심 먹은 게 소화가 안되나 보다.... 배 아포.... 
54," 동해 아 어디 숨어 있었던 거야? 안 바빠 때 메시지를 떨어뜨려, 알았지? 난 당신을 잃어 버 였 자나! "
55, 지어 코. 
56,  J-HOTTEST에 따뜻한 손을 흔들어 주어서 고맙다(๑′ ᴗ‵๑) Ｉ L ᵒᵛᵉᵧₒᵤ일부러 늦게 걸음 있어 주었니? 발의 부상이 아닙니까? 안전하게 일본을 즐겨
57," 남편 봐요 나 이제 고등학교 가요~시작이 반이란 말처럼 1학년 때부터 죽도록 공부해서 가고 싶은 대학교 갈 거예요, 제가 공부할 때 우리 비스트에겐 좋은 일 또한 좋지 않은 일도 수도 없이 일어나겠죠? 하지만 전다 지켜볼 수 없어요. 대신! 안 좋은 소식 들리면 안 돼요 잉~중간중간에 성적 알려주러 올게요"
58,제일 죄송스러운 건 역시 부모님.. 그리고 걱정해주는 친구들.. 다음 시험은 내 이름 석 자 걸고 합격해 한턱 쏠게요. 미안하다 사랑한다. 
59, surrendered!! 나는 항복 Good bye Kuwait arab fans ....
60, 사드셨어요?? 저는 완전 못 사 먹었어요 ㅠㅠ 백 개 쟁여놓고픈데 그냥 냉동고에 넣으면 녹는다고 해서 
61, 사부님 존경합니다 
62,Good night 굿나이트 
63,제발 날 떠나지 ~
64,내게 안녕이라 말하지 마... cc.someone 
65,근데 세르나 프레가 뭐지
66,ilpil jdnya denger lagu ini. Jd inget ayu tingting  ♫ I Am the Best (내가 제일 잘나가) by 2NE1 — 
67, 오늘 하루도 수고하셨습니다(^-^)/안녕히 주무세요
68,"  심지어 다른 집 쿠폰도 열 장 있지. 가끔씩 정리는 해줄 필요가 있는 듯. 새삼 내가 집에서 닭을 엄청 먹었구나, 살이 안 빠질 법 하구나, 하는 걸 깨달음..."
69,"맨 온 릿지.. 추리소설이나 액션 영화의 공통점은 뒷심이 얼마나 탄탄하냐에 희비가 나뉜다고 생각하는데, 기대되던 전반과는 다르게 급속도로 뻔하게 마무리되던 후반부에서의 탄식...! 이 영화의 가장 나쁜 점은 예고편이 과했다  "
70,아 어려워... 너무 어려워 아직도 이거다! 하고 확신을 가지기 힘들다.....
71,요즘 왠지 사진 욕구불만
72,돌려주세요 주말 우울해 무슨 맘이 이렇게 한없이..... 한숨 나 가기 싫다 아무렇지 않은 척 무덤덤 출근하는 나이는 언제나 얼마나 더 시간이 지나야 하는 걸까
73,맘먹고 하니 금방 하는구먼!! 결과는 허접하지만..
74,다이어트 첫날. . 먹는 즐거움이 얼마나 크단 말인가 그 즐거움을 놓지 못해 이지경이 되었지만 .... 이번엔 꼭 성공하리 그렇지만 눈앞에 순대를 놓고 먹지 못하니까 진짜 죽을 맛 휴
75,A와 C..... 갖고 싶다...... _ ㅋㅋㅋㅋ돈 좀 주세요~~ 
76,타임 라인 들어와도 뭔가 휑~~~~~~한 느낌.... 뭐지....? 
77,자도 자도 졸리다 눈이랑 얼굴이 또 띵띵 부었다 졸려서 눈이 안 떠지는 건지 눈이 격하게 부어서 안 떠지는 건지...
78, 상추가.... 삼겹살이 필요하데
79,기분이 Down down... 
80,허리를 삐끗해서. 진통제 먹고 하루 종일 핫팩으로 찜질 중.... 온천물에 반신욕하며 쉬고 싶다. 
81, 잘 생각 말라더니 잠에빠져드셨....어 굿나이트......
82," miss u, miss u, miss u, miss u, miss uuuuuuuuu....  ㅠ.ㅠ 너무 보고 싶다~~~~ ... Sigh~~~  take care baby~~~ u"
83,세시다 좌절~~~~
84,아우... 피곤해 잘 자
85, 사랑해 오빠 ~~~~ 
86, 사랑해 오빠 ~~~~ 
87, 사랑해 오빠 ~~~~ 
88, 사랑해 오빠 ~~~~ 
89, 사랑해 오빠 ~~~~ 
90, 사랑해 오빠 ~~~~ 
91, 사랑해 오빠 ~~~~
92,졸려 
93, 유에 오 미테쿠다사이^^ZzzZZz...
94," 오늘을 어떤 하루였니까? 좋아도 나빠도 내일 좋은 일이 되면 좋네요～^^그럼, 나는 URAKARA 보고 잘하고 있어요 o(^▽^) o 안녕히 주무세요～"
95," 오늘은 어떤 하루였습니까? 좋아도 나빠도 내일 좋은 일이 되면 좋네요～(((o(*ﾟ▽ﾟ*) o))) 그럼, 나는 URAKARA 보고 잘하고 있어요 o(^▽^) o 안녕히 주무세요"
96, 그리해요 승기가 널 안 보지. 그냥 보자고 약속 잡으면 바로 보겠다고 할까 봐
97,열도 나고 목도 아프고 머리가 깨질 것 같다...  난 감기 절대 안 걸릴 줄 알았는데..
98, 원더!!! 원더!!!!!!ㅋㅋ 원더가 진리!!!!
99,퇴근길.. 길 막혀 졸려
100,짧았던 휴가를 끝내고 일상으로 돌아오는 길.. 아쉬운 마음..
101, 연평도 때 다친 사병 이야기하다가... 군대 이야긴 우울해요.
102,고기를 먹었는데도 기분이 좋아지질 않아요 불안 초조해
103,"나는 동해를  놓치지 않을 걸세 있다고 생각했는데, 지금 그를 그리워지기 시작했어! "
104,요즈음... 자면서 왜 이렇게 침을... 흘리지( 교실 책상에 엎드려 잘 때도 안 그랬는데.. ㅠ )
105, 그것은 컬투쇼. 나도 회사 때려치우고 호떡이나 구울까? 
106, ᅲᅲ왜 잤을까요...에 잇 ㅠㅠㅠㅠ 아까 비해요 ㅠㅠㅠㅠ온니 언제 보냐며 ㅠㅠㅠ 흐규흐규
107,굿모닝 
108,어차피 내 개인 정보 따위 이놈 저놈 다 알고 있는 세상일 테지... 
109, 싫어요!! ~.~ 나는 널. 싫 • 어 • 요ㅛㅛㅛㅛㅛㅛㅛ~
110,이놈의 가슴 아픈 몹쓸 병 왜 나지 않을까? 겉으론 상처 하나 없는데 왜 이리 아플까? 지겹도록 이 끝이 없이 선도 미노처럼 ........ Night
111,  벌써 잊어버린 거 라인에요? 언니? Did u see a teaser for [BIGBANG' BAD BOY]?^o^
112, 보고 싶었어요 ~ 정말 ~ 
113,내가 당신을 사랑한다 미안하다! 
114, 미안합니다 
115,&quot;'무신' 치열함 뒤에 숨겨진 화기애애한 촬영 현장&quot; ㅋㅋㅋㅋㅋㅋㅋ 표정ㅋㅋ 똑같아  
116,배고파
117,나 피곤해  어떻게
118,싫으면 그냥 싫다고 솔직하게 말해봐....
119,그냥 자야겠다.... 
120,뭔가 허전해.... 도치님도 타임라인에 없고.... 
121,타임라인에 언젠가부터 정치 이야기가 너무 돌아다니는 듯 .... 예전에 내가 정말 좋아했던 그 분위기로는 돌아갈 수 없는 걸까...? 
122,넌 내 두통이구나! 아~ 골치 아파! 
123,요즘은 뭔가... 타임라인에 들어오면 나 혼자 놀다가 가는 느낌..... 뭔가.... 이상해.... 
124,배고파  하지만 오늘은 금요일이에요
125,흔 지 집에.. 
126," 응, 그랬구나.. "
127,우울   오빠!!  어떻게 해요??? 보고 싶다 
128, 안녕히 주무세요 
129, 감사합니다
130,알고 보니 나도 불쌍한 인간이구나
131,눈은 하는데 잠을 못 자고 있다. 평안하게 해주세요-
132,  판다 아빠!!! 당신이 나를 봤습니다. 하지만 왜 나를 잘 잡을 수 없어요?  
133, 그 청년과 함께 사는 나이키 소년의 마음은
134, 그래도 나에겐 같이 술 마시고 울어줄 친구가 옆에 있어 다행이다 
135,나는 불필요한 오전 
136,그래도 나에겐 같이 술 마시고 울어줄 친구가 옆에 있어 다행이다 
137,바보처럼 난 너무너무 ... Sigh ..
138,"아무리 그래봤자, 쓸쓸해."
139, 언니! 언이! 티타임이오!(라고 헛소리함 날려봅니다...) 
140, 아이고 난생처음 하는 합준데요 뭐. 남들에게 들려주려면 한 10년은 걸릴 듯요... 
141,"학교랑 이렇게 오래, 멀리 떨어져 있으니까 점점 걱정이 된다. 이렇게 하고 싶은 거만하다가 개학 후 이 년 동안 시험에 묻혀 살아야 할 텐데, 내가 버틸 수 있을까? 그냥 그런 잡생각"
142,Exhausted after 3hrs tutoring 중간중간 좀 놀았음 ㅋㅋㅋ
143,졸려 ~ 헉 
144,포르투 멘틀 붕괴했구나. 
145,ㅇ ㅛ ㅇ ㅛ ㅇ ㅓ ㄷ ㅣ ㅇ ㅏ? ㅍ ㅏ ㄹ ㅣ ㅇ ㅗ ㅏ. 
146, 웃기게 생겨서 죄송해요.. 
147,태어나서 널 만나고 죽을 만큼 사랑하고 파랗게 물들어 시린 내 마음눈을 감아도 널 느낄 수 없잖아BIGBANGBLUE
148,그립다ㅜㅠㅠ QT  날도 따뜻해지고 지젤 하는 날이 언제 올까 했는데 어느덧 다음 주. 정신없이 돌아가는 한주에 달력을 보니 2월 22일. 딱 1년 전 이때엔 눈물의 막 공주 간이 시작되었는데ㅠㅠ 그립다 
149, 그러케찌??ㅠㅠ해품달까지그러면진짜!!근데왜자꾸스페셜내주는곤데??ㅠㅠ힘든가????
150,Sorry guys... For spamming your timeline.... I'm really sorry... :( 찌자 미안해.... 
151,집으로 향하는 만원 지하철에서 이런저런 생각이 많아 지네. 부족할 것 없었던 평화로운 하루 끝에... 
152, 안돼!! 25원
153,내가 정말 실망해요.. 그 느낌이 정말 아프다. 내 심장이.. 아이고 나 어떻기 지? 정말 뭐냐?!!!!  ㅠㅗㅠ
154, 그냥... 독립해서 살까 싶네 다 짜증 나 다 놓고 싶다 ㅠㅠㅠ ㅋㅋ
155,지금 지하철에서 컴퓨팅 책을 공부하고 있어 
156, 왕세자 어디에? 보고 싶다. Tweet plssss
157,예전에 트위터의 타임라인에는 정치 이야기들이 이렇게 많지 않았는데... 그래서일까...? 분위기가 사뭇 다르다.... 뭔가 씁쓸... 내가 제일 좋아하는 공간인데... 
158, 알았어  파이팅!
159, 힘내요 언니 언니 마음 너무나도 잘 알아요
160,아직 수요일밖에 안됐는데 피곤해~ 졸려~ 이런 만성피로 같으니......
161,몰라요
162,나는 잠을 잘 수가 없어~Can't sleep
163, 한 방 씨…오늘도 트위터 없어네요 건강한 증거이네요!ㅎㅎ사장을 만났죠? 일본이 그리워졌습니까?ㅋㅋㅋ나~ㄴ태!ㅋㅋ 컴백 화이트~~!!
164,  신우 오빤  저런 싸움에 끼지 말고 얼른 들어가서 자ㅋㅋㅋㅋ 
165,배고파 
166, 난 배고파.  
167,나쁜 넘은 끝까지 나쁘고 잔인한 넘은 끝까지 잔인한 건가.. 도대체 남의 맘을 들여다볼만한 눈은 전혀 눈곱만 없어 보인다.. 이젠 무뎌지고 그냥 안쓰러운 맘이 들었었는데... 좋은 기억들 마더 낯설게 잊혀 가게 만드는구나... 씁쓸하다...
168, 에이~ 왜 자신 없어요.  언니 굿밤 :) xo
169,어? 블론드 레드헤드 내한하네.  팔로 하면서 왜 몰랐을까. 2012년 지구 멸망보다 내 통장 파산이 먼저 될 거 같다
170,너는 이 순간 진짜 행복하니....?하아 아아아........ 
171,사람이나 물고기나... ㅉㅉㅉ. 자 이제 홀가분한 마음으로 사무실 복귀 
172,화장할 때는 재밌는데 지우는 건 재미없고 귀찮아 그렇다고 설렁설렁하면 내 얼굴 진짜 시망똥망개망 되는 거니깐 맨날 참고 싹싹 닦는 거지
173,진짜 졸려~!! 오마! STOP. STAY AWAKEEEEEEEEEEEEEEEEEE!! 
174,짹짹을 유지 احبك × 당신의 아랍 팬들 신경 쓰셔서 감사합니다 LOVE U
175,죽다 삼 
176, ㅜㅜ
177,심심해 
178,칼로리 370 ㅋㅋㅋㅋ 
179,'인 더 미들'에서 백조로 돌아오긴 너무 힘들다. 
180,박카스를 한 병 다 마셨더니 머리가 어질어질... 반 병만 마셨어야 했소~~~
181,맛 좀  
182, 오늘도하루수고하셨습니다(^O^)／내일은수술녀요•••굉장히걱정입니다수술 힘내주세요 그럼 안녕히 주무세요 
183, 오늘도 하루 수고하셨습니다 o(^▽^) o 다리 상태는 어떻습니까? 좋아지고 있다는 것을 부탁 더 깁니다 내일은 규리씨의수술네요•••굉장히걱정입니다반드시괜찮네요?그럼 내일도 힘내주어요(^O^)／안녕히 주무세요
184, 오늘도 하루 수고하셨습니다 o(^▽^) o 내일은 규리 씨의 수술네요•••굉장히 걱정입니다 반드시 괜찮네요? 그럼 내일도 힘내주세요(^O^)／안녕히 주무세요
185, 오늘도 하루 수고하셨습니다(^O^)／내일은 류리씽의 수술네요•••굉장히 각 정입니다 반드시 괜찮네요? 고럼 내일도 힘내주세요 o(^▽^) o 안녕히 주무세요
186, 오늘도 하루 수고하셨습니다(^O^)／내일은 규리 씨의 수술네요•••굉창히걱청입니다반드시 괜찮네요? 그럼 내일도 힘내추세요 안녕히 주무세요
187,  나만 빼놓고ᅲᅲᅲᅲᅲ 낼 말해줘요
188,한시다!! 자야 해 ㅠㅠ 그렇지만 무아이타이 트러 나서 흠흠;;그래도 유엡씨보단 재미없으니 이제 그만 잠자리에 들궸숴
189,"내 맘이 너무 아파,,"
190,오늘 밤은 빨리 잠들게 해주세요... 고통스러운 불면증의 밤들.....
191,"  아쉽게도 인증 숏은 없어요  플픽도 바꾸고 싶은데 요즘은 사진 찍어주는 친구들도 없고, 셀카는 달인이 못되고..."
192, 오빠 트위터 멘션보고잇나??좀봐줘여ㅠㅠ흐옹~~에리카
193, ...없기.
194, 옹 그렇지만 섭섭 혀 
195, 수술한다고 들었습니다 굉장히 각 청입니다 수술 힘내추세요(&gt;&lt;)/
196,4년 동안 열심히 일하다 회사 그만두고 휴식 중인 친구를 보니 부러워 죽겠다. 그동안 못 했던 것들을 즐기느라 바쁜 그녀 ㅎㅎ 나도 평일에 혼자 돌아다니고 싶어~~ 
197,  이런 분에서 이런 분은 어떤 분이며 .. 요건 뭔가 실망했다.. 이런 느낌은 아니죠? 
198,만사 귀찮음
199, 하하하_뭔가 그림이 그려진다는~ 
200,유수연 강사님 어록이 잊히지 않는다. &quot;밤새도록 괴로워 하라! 스스로 비하하라! 끝까지 초라함을 느껴라! 난 괜찮아? 하나도 안 괜찮다! 스스로 위로하지 말아라. 안 괜찮으니까 예민해져라...&quot;..... 가슴 꽂히는 독설 
201,떡볶이와 커피는 함께 먹는 게 아니었어. 속 쓰려..
202,"드디어 3회의 모던 공연이 끝났다~담 주부터 백조 연습하고, 다시 모던으로 일본 공연--"
203, 활동 너무 짧아요
204,(두리번~ 두리번~) ..... 힝.... 
205, 연휴도 밤낮도 무의미해지는 인생?? ㅠㅠ 커피 한 잔만이 위로가 되려나.. 
206,"어떻게 가, 아엠아 받 걸 프렌드 .. 안니, 럽 이인.."
207, 언니ㅣ 우리 중간 맨 뒤에 있어요 오 
208,친구잖아~ 
209,한 번쯤은 잘했다고 해줘도 되는 거잖아요. 나도 나름 열심히 했는데
210, 유유&quot; 궁뎅이빨리안아야하는날이왓음죠켓오!!!!&quot; 그럼꽃피는봄엔승마대신산책앤등산을마니하쟝ㅋㅋ
211,아~이젠 나이가.. 예전 같지 않음을 실감! 밤새는 비행이 무지 힘들구나~~~! 마닐라 호텔방이 너무 추워 감기가 올 것 같아.. 에어컨도 모두 껐는데도 춥더라니~  그래도 오늘은 내가 좋아하는 주말이 아니더냐~ 씬나는 하루 만들어보아요~^^*
212, 시끄러!!!! 
213,"고민 끝에 .., 잠 두 시간 반과 2만 원을 바꿈. 그래 ~ 내일 늦게까지 자지 뭐 ㅎ ..,  이럴 땐 집 먼 게 싫다 흑."
214,아 아 씻고 자야지... 아침에 아르바이트하러 가는데 눈이 너무 쌓여서;; 자전거 운전하다가 서너 번 자빠질뻔한 경험을 했더니 피곤해... 
215, 그러게요 술 오르네요 오늘은 정말 할 일이 없어 저녁 먹고 혼자 바에서 일 잔 중인데.. 피곤해서 그런가.. 
216,집에 있고 싶다...
217,의혹을 품고 있는 
218," 제 폰은,,, 알람일 뿐!!!"
219,주욱주욱 단물이 다 빠진 몸을 이끌고 강추위 속으로. 이런 상태 절대 돌아가지 말자 다짐했었는데 ㅉㅉ  그나저나 세상엔 나와 동떨어진 천사들이 참 많네
220, 심심
221, 굿 토요일 아침이고요 준형 군~오늘 역시 답답하네요~출근해야 되니까~ᅲ너희들보다 아무것도 않지만 좀 불평하고 싶어서 그래~ㅋ 어제 시에프 땜에 엠티도 못 갔다며~진짜 고생 많다~너무 놀고 싶었지?ㅠ요즘 자주 틀 위안해서 잘 지내고 있나? 만 날 카운트다운 해볼까? 2주 후 만나자~보고 싶소~
222, 당분간은 혼자 찌질 기간이니. 페어플레이 정신에 입각해 건들지 않을게요.  그래도 
223,밉다. 못된 녀석.
224,아 정말 미 춰~버리겠지만...... 이 또한 지나가리라.........
225,내게 소원을 들어주십시오. 내가 진심으로 바라는 전부입니다. 나는 기다리기 지쳐. 
226,배고파 
227, 악. 그럼 나이 탓이야?? 뼈가 안 아물어? 물리치료랑 칼슘 많이 섭취해라. 우유. 우유 많이 마셔. 왠지 네 이야기로 끝나는 것이 아닌 듯 싶으니. 급우울. 
228,우리 연극이 최우수상이라니? 말도 안 돼!! 아쉬움이 참 많은 무대였는데... 졸업전 좋은 선물 감사합니다...
229, 그럼 답답한 대화는?
230,머리가 지끈 지끈 도대체 일이 왜 이리 꼬이는지.. 불안한 이 맘을 어찌하리
231,배고파. 
232,PrayForSiwonBeWell  ㅜㅜ
233, 야!!! 나의 구역에 오면서 연락조차 하지 않다니!!! 싫다. 정말 싫다.
234, 언제 우리나라에 올까요?  [아랍 ELF] 
235,Just posted a photo   복귀 중...  
236, 누나 밥은 먹고 다녀요? 걱정이 이만저만
237,지하철 안에서 내 귀엔 꽂은 건 김동률인데 사방 고성방가.. 왜 나이 들면 저렇게 되나 싫은 거보단 참 서글퍼진다 내 모습이 저렇게 안 될 거라 뭘로 장담할까.. 
238, 안녕하세요 미안해
239,제발 
240, 윤선 자매님.. 정말 너무너무 기다렸던 성전 인테리어 실시간 사진을 올려줘서 너무 고마워 최고야 정말.. 그런데 너무 추워 보여서 자꾸 제가 죄송해지네요..
241,답답해. 슬프다. 난 가고 싶어 친구들 다도 갈 수 없다. 짜증 네!!!!!! 엄마와 같이 노래방에 가서 재미없어. 
242, 죄송 먼저 이기진 못했으니. 난 이미 최선을 다했다...
243,친구도 없고…
244, 난 미친 사람이군 
245,이혁재 
246,yoochun  왜?
247,"지친 내 모습이 조금씩 지겨워지는 걸 느끼면 .,다 버리고 싶죠 힘들게 지켜오던 꿈을..   Macau 2011 "
248,Just posted a photo   복귀 중...  
249, 빨리 보고 싶은 인석 오빠 오하요～～ヾ(＠⌒ー⌒＠) ノ 점심시간이 왓써욤헤헷난 뭔가 감기 걸렸나 봐요ㅠ목이 아파요힝라이브도 있으니깐 오빠도 조심해요 오늘도 좋은 하루 보내세요 인석 마리나
250,버스 이야기   1-14버스
251,에효
252,Just posted a photo   복귀 중...  
253, 네- 아무래도 뭔가 있긴 한 것 같죠??그냥 속시원히 발표를 해줬으면 좋겠어요-!
254,추위!!!!!  
255," 야야, 이제 좀 보여줘 봐라"
256, 내 엄마 혼났었죠
257,이 오케스트라 연주 공연 정말 가고 싶은데... 21일이라서 ㅜㅜ 어휴.  
258, ㅋㅋㅋㅋ 걱정 마세요 멘션 못 받았다고 안 삐질게요! ...... 
259,홍기 오빠 I like the your hair style in July 
260,"머리 말리기 귀찮아 잘라버릴,....... ㅠㅡㅠ"
261,아파요
262, 당신의 starcall이 그리워~ 
263,"  전 삼성카드, 삼성화재, 에버랜드, 제일모직, 이마트, 홈플러스 심지어 배터리 등등 삼성가에 퍼부은 돈이 장난 아녜요.ㅜㅜ 여태 자각 못했었는데 연봉의 1/3은 삼성가로 들어가는 듯 말해놓고 나니 심각하네...."
264,오늘은 진짜 너무 피곤하고 졸리다.. 완전 집에 가고 싶지만 참는다. 갑자기 날씨는 또 왜 이렇게 추운 건데..
265,"Sighhh, so sleepy!! 어도 캐! "
266,내 눈 아파
267,"말도 안 돼! 이 사람, 진짜! "
268,푹 자고 찜질 열심히 했더니 몸이 금방 나았어 ㅋㅋ 회복력이 아직은 살아있어 ㅋㅋ 오예 ~~~ 근데.... 잠은 여전히 와... 후암... 졸려~~~
269,오늘도 안 깨워주고 이래놓고 안 변했다고
270,1호선 청량리역과 회기역 사이 선로 쪽 근처 건물 화재로 하천이 중단되어 버스를 탔지만 역시 도로도 그 화재로 인해 정체되었다... 그래서 난 결국 걸어왔다... 감기도 걸려 코맹맹이가 된 지 2주가 다 되어가는데 이러다 심해질까 은근 걱정스럽다...
271,아..................................
272,적어도 어색한 사투리 때문에 영화에 집중 못 하게 하는 건 배우들의 직무유기 아닐까??
273,내 usb!!!!!!!!! 기사 아저씨 님!!!!!!ㅠㅠㅠ 제발~ 제발~~ 부탁인데 복구가 될 수 있도록 도와주세요!!!! 아저씨 연락 올 때까지 전 똥줄 태우며 기다릴게요!!!!
274,늘 나의 한계가 느껴질 땐 참 많이도 후회되고 아쉽다.. 조금 더 차갑게 사고하고 행동하면 좋을 텐데..
275, ㅋㅋㅋㅋ 올리면서도 한참을 고민했네..
276,답답함이 상상을 초월하는구나..
277, 잘 지내려고 노력 중이에요 님께는 늘 먼저 생각해주시는 것에 감사하고 죄송하고.. 그래서 저도 드리고픈데 오늘은 초콜릿 많이 받으실 거 같으니 월향으로 함 초대해주세요 그때 드릴게요
278, 피곤해 zㅋㅋ
279,아침을 먹고 지각을 할 것인가 거르고 나갈 것인가 허허허 밥을 택하고 말았다 ㅋㅋㅋㅋㅋㅋㅋ
280,"if i survive this event, it'll be a pure luck ! 미치겠다 ㅠㅠ "
281,손가락을 잘라버리든지 해야지 원...  휴우..
282,모르는 번호로 전화가 와서 뭔가 설레는 맘으로 똭!!!!!!!!받아보니 대출해준다는 기계적 목소리 대체 내 번호는 어디서 알아낸 거지? 저 고등학생이랍니다
283,헐.. 내일은 밸런타인데이인데 
284,  EBS 생명이라는 다큐를 보고 있어요. 개미들이 나오는데 여왕개미가 죽으면 개미들이 죽고 개미들이 죽으면 그들이 살던 나무도 죽는데요. 선생님 기운 내세요. 낮에 선생님 글에 힘을 얻었는데 선생님이 기운 없어하시니 저도 힘이 안 나요.
285, 아 미안
286,"일하기 싫은 월요일 오전,,,,,"
287, 여러분을 가장 많이 하긴 건 윤복희 씨인데. 그분 별로 계몽 의지 없으시던데.  오늘도 선생님 파이팅!!!
288,친구가 남자친구랑 헤어졌다네요... 문자로 위로는 하고 있는데 빨리 힘냈으면 좋겠네요... 만나면 토닥토닥 다독여줄 텐데 서로 다른 곳에 있으니 ...
289, 세상에 이렇게 슬픈 파이팅이..
290,마음이 별로다. 기도하고 자야지.
291,피곤하다. 기도하고 자야지.
292, ㅠㅠ 깜놀이었어. 안타까워 참
293,꿈같았던 이틀이 지나버렸네..... 갑자기 힘이 쭉 빠져버린 것 같은...
294,  오빠 안녕 안녕 초콜릿을 받아줘서 고마웠어요ㅠㅠ오빠 앞에 가면 긴장돼요 店長님 파이팅이에요 나도 갈 테니까 멋지게 팔아 줘요 히히힛 이인석 마리나
295," 나도 출근... 어제 회사 이사했어요, 정리하러 총총... ㅜㅋ"
296,맞구나..
297,부질없어.. 진짜.. 아웅다웅 바둥바둥 하는 거.. 정말 간사한 게 사람(나 자신) 같다.. 묵념.. 
298,"햇살 가득한 일요일, 아~~~~~ 출근하기 싫다... 오늘은 어떤 지짐이 아줌마들이 오려나....... 아........"
