,Unnamed: 0,labels_text,tweet
58,58,__label__2,I can tell by eyes
59,59,__label__2,"Yes, it will be just around the clock."
60,60,__label__2,Feeling away from the world
61,61,__label__2,Menthol
62,62,__label__2,I'm hungry
63,63,__label__2,Taxi Life
64,64,__label__2,"I have to have bread in front of me, but I can not eat bread for two days."
65,65,__label__2,I'm going to break it.
66,66,__label__2,I want to cry.
67,67,__label__2,I miss
68,68,__label__2,"I was lying in bed in the morning, but my nephew came to me next to me, and my aunt was tall. I touched her and she looked at her clothes. I felt embarrassed."
69,69,__label__2,A lie
70,70,__label__2,"I do not use the dryer, but when I dried it with the dryer, I was told not to let it dry."
71,71,__label__2,I was too young.
72,72,__label__2,I would have to say that the tin-top movie was shot in the fire.
73,73,__label__2,Something about a broken keystroke
74,74,__label__2,OhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhH
75,75,__label__2,Timah
76,76,__label__2,really miss you
77,77,__label__2,"I was going to go out early in the morning, but I did not like my body, so I gave up and slept again so I got up too late."
78,78,__label__2,I will reflect.
79,79,__label__2,I want to see so much
80,80,__label__2,I love you
81,81,__label__2,Mir
82,82,__label__2,Myeongdong fan signing ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋ ㅋ ㅋㅋㅋ
83,83,__label__2,OK
84,84,__label__2,Sorry
85,85,__label__2,I want to see it all
86,86,__label__2,I had a lot of delicious things to eat and I was able to get through it very well.
87,87,__label__2,It's about your approval but when you do it it's too selfish when it's prohibited
88,88,__label__2,"Together with the eye,"
89,89,__label__2,I miss you
90,90,__label__2,Oh already instructions
91,91,__label__2,Galaxy Note Released on the first day
92,92,__label__2,No. I have not heard your lullaby yet.
93,93,__label__2,I can not get home because I do not have a key.
94,94,__label__2,"I was hoping I could take a little rest today, but I'm busy."
95,95,__label__2,I'm going to go again.
96,96,__label__2,I do not want to get up.
97,97,__label__2,"Good night, Ein."
98,98,__label__2,Now is the time to leave goodbye to your parents.
99,99,__label__2,I need to recover my condition.
100,100,__label__2,Shyly
101,101,__label__2,I want to see
102,102,__label__2,Toadak Toadak Toadak Toadak Chicken Chicken Chicken Tototto Tato Tada Tadada Tadada Chicken
103,103,__label__2,I'm in a bad mood I have a great dizziness Thank you mother of nature But I'm happy Because I love you Because you love me
104,104,__label__2,Nya Aung
105,105,__label__2,Yeah
106,106,__label__2,"I want to paralyze. I have not had a fever since Saturday. I tested for flu today. Fortunately, it was not a flu, but if I keep still open, I'll check this out. Doctor scared me."
107,107,__label__2,"It's the end of the walk, but why does it feel like my hand and the big table are not poisoned?"
108,108,__label__2,Take care of yourself.
109,109,__label__2,Sounds good.
110,110,__label__2,"Thursday is a shattered name on the day when we call on the throne,"
111,111,__label__2,"I do not know all of this tour, but I do not know if I can participate in it. Because my mom said I want to go too, I am praying that I will be elected."
112,112,__label__2,Tonight's the end.
113,113,__label__2,I'll work.
114,114,__label__2,I also
115,115,__label__2,I need to be careful when I turn right on the blue fire crossing. I'll catch it as a signal violation.
116,116,__label__2,It's easy. Just let it go.
117,117,__label__2,Relapse
118,118,__label__2,I think of a lot of boiling What am I doing now What can I do
119,119,__label__2,The weather has already been around for a while. Daegu is warmer than the Toya and Gumi.
120,120,__label__2,I'm so sick
121,121,__label__2,I miss you.
122,122,__label__2,I'm hungry.
123,123,__label__2,I went to work with my laptop
124,124,__label__2,This is absolute
125,125,__label__2,"Joy is now on my list of my ideal types. There is a man like this one, but the existence itself is a man. I have to mention the voice."
126,126,__label__2,"I went there yesterday, but I do not think I should go back tomorrow if I do not get it."
127,127,__label__2,good luck
128,128,__label__2,I want to open my heart.
129,129,__label__2,"Together with the eye,"
130,130,__label__2,I want to see
131,131,__label__2,"I tried to go to the Paldang dam, but the back wheel punk made me crazy."
132,132,__label__2,"Good night, chocolate."
133,133,__label__2,I've got a pass. I sent you my sister Naver Mail.
134,134,__label__2,Do it again
135,135,__label__2,"I just got a huge spa in Osaka, but I bought it. I can not go out for tattoos while I'm on the entrance. I do not want to go back to Singapore."
136,136,__label__2,OMG
137,137,__label__2,"In Korea, the influenza is prevalent. Please do not get infected by Jung Hwan. Worry Wash your hands. Let's brush our teeth and prevent it."
138,138,__label__2,You can feel it day by day so do not you
139,139,__label__2,"Tomorrow this time, my mom and I will be shouting, but I feel colder and colder in my house."
140,140,__label__2,Songdo ㅠ ㅠ 뷰 뷰 뷰 뷰 뷰 뷰 뷰 여 여 여 여 여 여 여 여 여 여 여 여 여 여 여 여 여
141,141,__label__2,
142,142,__label__2,I am worried about the end of the surgery.
143,143,__label__2,Why is not this so?
144,144,__label__2,It is not easy
145,145,__label__2,Gumi
146,146,__label__2,I'm not in the middle of a headache.
147,147,__label__2,Come on.
148,148,__label__2,I will not look sad.
149,149,__label__2,I know you can be him But he's getting far
150,150,__label__2,I wake up at 3:00 and I can not sleep. I feel sore. I have a bad headache. My nose is insomnia. I am insomnia. It is not good.
151,151,__label__2,I'm fine. Do not worry about me.
152,152,__label__2,Bored
153,153,__label__2,It's a karaoke time.
154,154,__label__2,ㅋ ㅋ ㅋ ㅋ ㅠ ㅠㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ
155,155,__label__2,I'm allergic. I do not even have a toothbrush. I just want to see you.
156,156,__label__2,I thought that I would have a lot of sisters and friends who would like to have a big biceps when I do twitter. But the reality is that I am crying that I love my biceps at Tamna. I still want to make friends
157,157,__label__2,It's not a good woman Why is not so good You hate it
158,158,__label__2,I miss you
159,159,__label__2,I want to see Rio brother
160,160,__label__2,good night
161,161,__label__2,I do not have the motivation to make a year-end payment.
162,162,__label__2,I do not know how to get back.
163,163,__label__2,I'm waiting for you I'm waiting for you Let's go to Moscow I'm waiting for you Let's go to Moscow I'm waiting for you Let's go to Moscow I'm waiting for you Please please please please please
164,164,__label__2,"If you look at it hard, you'll see it."
165,165,__label__2,I know.
166,166,__label__2,I really hate it
167,167,__label__2,I was worried because I was really tired last night.
168,168,__label__2,I do not know why I have not got a sucker. I do not have a sucker. I do not have a sucker. I do not have a sucker.
169,169,__label__2,Why is there so many events in my family?
170,170,__label__2,"It was too late to finish it, but if you had asked me to come back and put my wallet in it, I would have been very disgusted. - I am glad to have been on the train today."
171,171,__label__2,Not look
172,172,__label__2,"If there was a team in the place where I live, I would have been moving there to support it."
173,173,__label__2,"Well, if the challenge fails, then do not go."
174,174,__label__2,That's a good idea.
175,175,__label__2,I have to be busy and happy just to be happy.
176,176,__label__2,Inshu tears came out when I think of today. I always appreciate the kindness of the argument. ㅠ I have to try harder and harder.
177,177,__label__2,I can not stand sewing while watching soccer.
178,178,__label__2,"First of all, the bad habits come from the storage."
179,179,__label__2,My horse
180,180,__label__2,It's shaking
181,181,__label__2,you are handsome
182,182,__label__2,"If you can eat it, it's a job to take it out."
183,183,__label__2,"What should I say? I just want you to get a reply. Once you reply, I am happy."
184,184,__label__2,"When people saw a fan meeting picture, they said you guys are avoiding me."
185,185,__label__2,It's okay. I'm worried about you.
186,186,__label__2,Brother
187,187,__label__2,I want to see you again.
188,188,__label__2,line
189,189,__label__2,Haliga
190,190,__label__2,My mobility is so painful.
191,191,__label__2,"Wow, the jackpot is good."
192,192,__label__2,I know I love you. Right. I could not go today. I'm sorry.
193,193,__label__2,To escape practice
194,194,__label__2,I can not even tackle it because it can be my taste to raise performance.
195,195,__label__2,Today is it.
196,196,__label__2,"Come on, ass and ass."
197,197,__label__2,sick
198,198,__label__2,Dot in the mouth
199,199,__label__2,I am hungry too
200,200,__label__2,I do not work until the last minute and play couple
201,201,__label__2,My heart hurts.
202,202,__label__2,Hye Hyung
203,203,__label__2,I just walked around in the snow.
204,204,__label__2,It's really okay.
205,205,__label__2,It is Kim Shin-young's hope song of noon.
206,206,__label__2,"Well, I'm good."
207,207,__label__2,What are you sleeping for?
208,208,__label__2,"I do not really know how to write a handwriting, so it seems to become an affliction. I looked at the diary last year, so I used to write it. I'll write it again. I'll have to buy one from the diary."
209,209,__label__2,I want to see my brother too.
210,210,__label__2,Taiwan is the telegraph
211,211,__label__2,You have everything I want
212,212,__label__2,"In this view, Taewon is also a b ㄱ ㄱ"
213,213,__label__2,"Oh, I see you again and I sell real souls."
214,214,__label__2,"Yes, I will not give you a reply but I'm in a wheat struggle."
215,215,__label__2,Choi Tae Won
216,216,__label__2,fighting
217,217,__label__2,This look is not a bad expression.
218,218,__label__2,I know I'm too old
219,219,__label__2,I try to go out on a rainy day and try to smile I did not want to laugh because I was dirty from yesterday but after a long while I took pictures
220,220,__label__2,I Love You
221,221,__label__2,It's sexual harassment to joke about men.
222,222,__label__2,"Today, there are many feelings and complexities in mind. Even the present life is not easy for me and I am worried about it. It happened once. It will improve soon. It will be fine."
223,223,__label__2,Amman City World
224,224,__label__2,"Every time I take a photo, I get really annoyed."
225,225,__label__2,I'm sad.
226,226,__label__2,"I ordered a big American One, and Loki whipped it up to add Machiato syrup and Java Chipburn. I wanted to go home as high as I wanted to go to work, and I did not know what to do with the Grande Size. We are loyal to your order."
227,227,__label__2,"Nippo is still in the middle of winter,"
228,228,__label__2,Where are you like that?
229,229,__label__2,The preview is just a preview.
230,230,__label__2,Hyundai Card Air Lounge
231,231,__label__2,Hallelujah allah ㅋ ㅋ sneaking or naughty
232,232,__label__2,"Huh, I will not be able to handle your wildness, so this bamboo is so delicate."
233,233,__label__2,Egypt
234,234,__label__2,You are a fool and you do not answer because you do not know the most builder girl you say
235,235,__label__2,Not too.
236,236,__label__2,"I was really hungry and I was really hungry but since I saw my sister, I could not eat it. But I do not think I would believe it because I did it to me because it seemed to be glueed."
237,237,__label__2,"When I come to Osaka, I wear my hat."
238,238,__label__2,"The taste of kkukkuk is just dank. Not so much, but it's delicious."
239,239,__label__2,A button type
240,240,__label__2,"Taylor, I have to sleep, but what do you do if you do not want to do it?"
241,241,__label__2,"I am very good at seeing you today, too. I love you so much. I love you so much. I like your black jacket too."
242,242,__label__2,How hot is the lighting?
243,243,__label__2,Sorry
244,244,__label__2,Snack Street Humboldt Chocolate Perfect Ho love Chan Jum Jelly Harmonize just what you like Mint Degraded Green Tea Ray Hand Cream Tea Green Tea Flavor Decaffeinated Drinks Carbonate Ion Coffee Thorno Sweets Mostly Combined Cookies Cookies
245,245,__label__2,"Please, if you are serious,"
246,246,__label__2,Brother we are arab fans we will be with you forever please
247,247,__label__2,Nosebleed
248,248,__label__2,I miss you too
249,249,__label__2,I miss you
250,250,__label__2,What is nostalgia Love is these words are sad Someday I do not want to see Somebody I do not want to touch So sad I'm so distant Sad love I want to have this guy
251,251,__label__2,The real real melody is too pretty and the lyrics seem to come true. ㅜ So it 's getting worse. ㅠ It' s time for me to listen to the real night. ㅜ This song is really good too.
252,252,__label__2,"Together with the eye,"
253,253,__label__2,It wore a new one piece of Shaban Chabang for life and I go straight home
254,254,__label__2,Assemble after eating only rice
255,255,__label__2,I do not have enough time to understand that I went to the first road again and read it again and read it again for the first time.
256,256,__label__2,ㅋ ㅋㅋ ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ
257,257,__label__2,Waaaaaaa
258,258,__label__2,It was like that.
259,259,__label__2,Ahiaiya
260,260,__label__2,
261,261,__label__2,I had a good dream.
262,262,__label__2,finely
263,263,__label__2,"If you sing a musical song while showering, you can not do it today."
264,264,__label__2,ㅋ ㅋ ㅋ
265,265,__label__2,I miss
266,266,__label__2,Let's go. Let's see.
267,267,__label__2,It's the first time I've been in the company for a long time
268,268,__label__2,"I did not have anyone to go to, so I begged my brother to come with me."
269,269,__label__2,"It is so sudden, so ㅜ ㅜ I'm sorry but this is not the end, so let's go to season"
270,270,__label__2,Head hurts
271,271,__label__2,But with the pressure of the work I am very sad
272,272,__label__2,You are a member.
273,273,__label__2,I think I can meet you at the beach. But you did not have a problem. I was really disappointed. Maybe we do not have the fate.
274,274,__label__2,I started to feel boring because of the holidays
275,275,__label__2,It's a real start tomorrow.
276,276,__label__2,"Thursday is a shattered name on the day when we call on the throne,"
277,277,__label__2,Send
278,278,__label__2,Nero really suits you.
279,279,__label__2,My head hurts so much.
280,280,__label__2,What is the feeling that it is better than looking for a smelphone in a Korean dictionary
281,281,__label__2,I wait for my dad.
282,282,__label__2,I am narrow in my house ㅋ ㅋ I'm in the Han River I'll take the chicken
283,283,__label__2,Please answer something.
284,284,__label__2,Yes today is Friday
285,285,__label__2,"Happy birthday, I love you."
286,286,__label__2,My sister is very nice. I do not give up. I have to be strong.
287,287,__label__2,
288,288,__label__2,"The most common thing about Mann Ridge Mystery novels and action movies is that they have a lot of love for how hard it is to be, but the sadness in the latter half,"
289,289,__label__2,"At this moment, why am I freezing the ice tray and filling it with water again?"
290,290,__label__2,I'm a fucking fucker.
291,291,__label__2,I made it too.
292,292,__label__2,Is not it cute Cassen syo combination of these two is the most gleaming when you play the field together The clothes Saiga ga
293,293,__label__2,I'll think about it if I give it to you with an apple and an apple.
294,294,__label__2,"Rain is going to commemorate your debut rushed instinctive support support delivery Wow, it will be delicious 얍 iP But you are on a diet, but you'll still enjoy it Thank you"
295,295,__label__2,She's a little stupid.
296,296,__label__2,Country diary
297,297,__label__2,This is the first time I saw a teacher like this big dog.
298,298,__label__2,I can tell by eyes
299,299,__label__2,boring
300,0,__label__2,"Today, I put a cloth on a kitchen towel and I put a cotton cloth like a doll and made a clothes shape. Though the piece was smaller than I thought and the frill did not stick to it, it was difficult to get it."
301,1,__label__2,It does not lead
302,2,__label__2,Lee Seong-min Happy Birthday Birthday My Beautiful I so much I want you all to come to your dreams I love you in fact I enjoy it my love
303,3,__label__2,Morning americano tired tired amekano tired sunday nico exco
304,4,__label__2,Korea Institute of Science and Technology
305,5,__label__2,"If you listen to the song, you will not be able to hear it, but if you listen to the song, it will be called ""healing"". want"
306,6,__label__2,Taiwan is the telegraph
307,7,__label__2,I do not have a tweet recently. What are you doing lately? I want to see you.
308,8,__label__2,"My brother is a FT Thai fan, but my brother is going to have a heart surgery on his birthday. Do not you bless my brother?"
309,9,__label__2,I think it's getting cloudy on you.
310,10,__label__2,Dad
311,11,__label__2,This is not fair You're ugly Have a good day My bear is good I love you more than anything in the world
312,12,__label__2,"I want to see you ㅠ ㅠㅠㅠ When we meet again, I am sad."
313,13,__label__2,"I do not have time for an aesthetic exam, but I do not think I can catch a half. I'm sleepy, but I do not have a problem. My mind is uneasy."
314,14,__label__2,"In fact, I wanted the Russian player to fall down properly, not because I hate her, but because I wanted to see how she made such a performance."
315,15,__label__2,Mblack Hurts
316,16,__label__2,I want to see you on the day before.
317,17,__label__2,"I wonder if you can communicate with me a lot this year so I told you confidently,"
318,18,__label__2,"I do not want to lose my nerves when I have my first love, but the reality is that I've forgotten my girlfriend."
319,19,__label__2,Last tweeting good night I say in the morning
320,20,__label__2,It takes a summer cold to get rid of the dog.
321,21,__label__2,I'm feeling good Monday and I do not feel like my brothers do not cool down ㅋ ㅋ ㅋ I'm so hot and I'm a little behind me ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ
322,22,__label__2,"My brother on Sunday I have been up to today for the Munchi Dai day I had a hard time practicing, I want to get happiness to my brothers soon"
323,23,__label__2,"I am happy, but I shake my head, saying that this is the sound of the house, which is not even in this house. Still, this house is unfamiliar."
324,24,__label__2,A sickly sickness
325,25,__label__2,Trickster
326,26,__label__2,I am happy today
327,27,__label__2,The tears are falling down
328,28,__label__2,A lawyer of a deputy arguing that the smell of manipulation has been violent by a family member of the family for years has been a lawyer of the self-confinement NIS Kim Ha-young during the last presidential election.
329,29,__label__2,"I'm sorry, I will stop sleeping, but today,"
330,30,__label__2,"My brother is my friend's birthday today. Happy birthday, please tell me once again. It's not really easy."
331,31,__label__2,I want to love you
332,32,__label__2,I want to go Korea UK Thailand France But I do not have money
333,33,__label__2,I waited for about two hours outside the pancake room. I'm hungry and sad.
334,34,__label__2,I do not have much pictures.
335,35,__label__2,Brother self
336,36,__label__2,no
337,37,__label__2,"My bobby brushes that have been waiting for a long time in the back porch when they have finished their baths. When I convert them to money, how much does it cost?"
338,38,__label__2,Im afraid
339,39,__label__2,I go to work Monday
340,40,__label__2,I can not see the god of yesterday. I am watching.
341,41,__label__2,
342,42,__label__2,I applaud Jeonbuk Police's efforts to get one step closer to local residents. There is a book cafe on the police station.
343,43,__label__2,"I feel depressed, but can this person be a friend?"
344,44,__label__2,It's the price of a cow lost and a cow.
345,45,__label__2,Could I be the same again
346,46,__label__2,Still
347,47,__label__2,ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋ ㅋ good enough to eat a little Azol
348,48,__label__2,"You're okay, brother. Do not be sad."
349,49,__label__2,"At the same time,"
350,50,__label__2,I do not think I'm destined to return. I have to go to school.
351,51,__label__2,"Exo individual expressions can sometimes pass, but they can be solved in conversation."
352,52,__label__2,I want to see
353,53,__label__2,It's the MB Black War.
354,54,__label__2,It was a few months ago in Gangnam Station.
355,55,__label__2,"Today is a confession day. If you make a relationship from today, Christmas is a hundred days."
356,56,__label__2,Bored
357,57,__label__2,I am sad I am depressed
358,58,__label__2,"Oh, it's true. It's John."
359,59,__label__2,I do not have John.
360,60,__label__2,I want to see you so much I'm so tired I love you Fighting
361,61,__label__2,"Besides, I have a lot of schedules and I'll take it off."
362,62,__label__2,I'm head in. I'm going to have a storm in my Ashley lunch for my brother.
363,63,__label__2,"Oh, it's a little late today."
364,64,__label__2,Something's sick
365,65,__label__2,brother
366,66,__label__2,I want it.
367,67,__label__2,I appreciate and love you with Shukira.
368,68,__label__2,"Today, my lottery ticket does not have anything to do with me. I have buried it all this time. I do not get my turn now."
369,69,__label__2,"I think I've been here lately, but every time I get a word out of the contract, I'm just sad and crying out loud. I think you're a joke, but it's not a joke. It's not a joke."
370,70,__label__2,"People are alike, but Japan or Korea or China"
371,71,__label__2,Do not
372,72,__label__2,"I want to see it, but I can not tell you."
373,73,__label__2,Oh shit pride
374,74,__label__2,"Oh, my God"
375,75,__label__2,In-Spirit says that Lee must rest
376,76,__label__2,ㅠ
377,77,__label__2,"I went to kindergarten education service today. I wanted to go to my mini fan meeting. But after the education service is over, I already have completed the application. I am so upset and frustrated and I am afraid that I have a bad cold. I have a sore throat and a fever."
378,78,__label__2,I want to see
379,79,__label__2,Someone is buying Tenskin.
380,80,__label__2,"I'm sorry, honey."
381,81,__label__2,"You should have been a comedian or a gag artist, not a singer."
382,82,__label__2,"I can not pick it up anymore, Joe."
383,83,__label__2,haha
384,84,__label__2,"I thought I was getting a little closer, but as I found out,"
385,85,__label__2,Show me.
386,86,__label__2,I want to do my best Tell your emotions to reveal to me now
387,87,__label__2,"It is more like a picture than an old picture, so I prepare for the stage of the dew, and the shape of my mouth is like this. It is a wool job."
388,88,__label__2,Why?
389,89,__label__2,"I do not like it, but I can not give you a tie, but I can not express it."
390,90,__label__2,Ahya
391,91,__label__2,I want to play more but I'll see you soon.
392,92,__label__2,Did you drink well?
393,93,__label__2,"Even with the appearance of Siu Min, the highest member of Deogeok Group"
394,94,__label__2,jealousy
395,95,__label__2,"I want to see you, I really want to see you again."
396,96,__label__2,"En real, it depends on me."
397,97,__label__2,Brother Korean is fun but hard.
398,98,__label__2,Black ㅠ ㅠ I'm feeling more down the rain
399,99,__label__2,I'll lie here and knock.
400,100,__label__2,Fighting Fighting
401,101,__label__2,I'll be late for a car.
402,102,__label__2,Tomorrow is the first teaser release. ㅠㅠ ㅠㅠㅠ Hussein I
403,103,__label__2,Hyunjin brother
404,104,__label__2,The number of emoticons has increased.
405,105,__label__2,I came to the expedition from today. Kyocera Dome was fun. But it was the first day on the first day that I forgot the existence of the dome
406,106,__label__2,It's a day off for a really long time.
407,107,__label__2,Love is hurting
408,108,__label__2,I updated the Android and all of these guys seemed to be pictures.
409,109,__label__2,ㅠㅠ I have a lot of hard work.
410,110,__label__2,"I was on Twitter because of Mr. Zhang's air condition, but it's too difficult for me."
411,111,__label__2,I want to meet you today.
412,112,__label__2,cold
413,113,__label__2,"No, it's not long."
414,114,__label__2,"I do not get one. If there's a cop in the universe, it's not a problem."
415,115,__label__2,Not yet
416,116,__label__2,I am a tedious and tedious Seifunika
417,117,__label__2,Between us
418,118,__label__2,"I did not think I should go, and she cried herself just silently. I mean, finally. I'm so sick. I thought the girls were the worst guys in the world. I was the bad guy."
419,119,__label__2,"I am very tired, and I am very tired. I have not done much yet. I have not seen it yet, but I have time to look at the weekend. ㅠㅠ ㅠㅠ ㅠ"
420,120,__label__2,I am looking forward to seeing you soon. I am looking forward to seeing you soon. I am looking forward to seeing you soon.
421,121,__label__2,I miss you
422,122,__label__2,I love you I miss you everyday
423,123,__label__2,"I am right. I am a horrible world as an experienced person. Now, there is a scary expression that a woman sees a relatively large number of nurses in society."
424,124,__label__2,It is anticipated to be rough today.
425,125,__label__2,I'm waiting for you
426,126,__label__2,Siwoo
427,127,__label__2,My body is really dying.
428,128,__label__2,"Thanks to Joey Pool's support and voting, we were able to make a nomination for The Show Choice. We are always thankful for the love of our Joey Pool."
429,129,__label__2,"I do not have money. I do not have money. I do not have money. I want to win a lot of chinese games. Let's collect the voting rights in advance. If you have not started yet, you have come up in detail."
430,130,__label__2,I have imagined
431,131,__label__2,Photo by GwangAn Lee
432,132,__label__2,My head is badly damaged often bleaching and coloring
433,133,__label__2,Azai Aza Fighting
434,134,__label__2,"I do not know, but I do not even know why you're doing this to a sensitive baseball player."
435,135,__label__2,I do not want to get rid of them. I do not want to get rid of any dogs when I ask them to get rid of them. Foreign kids are hard to buy.
436,136,__label__2,I want to graduate quickly.
437,137,__label__2,"When you meet with the kids who do not like the classmate, you're in the dark. Oh, tomorrow is the day of the fight."
438,138,__label__2,"It's silly because she talks to other people, too."
439,139,__label__2,I like you but you have to admit it too early for me
440,140,__label__2,"Yes, I know."
441,141,__label__2,What's the Difference
442,142,__label__2,What happened to the last month?
443,143,__label__2,"I do not sleep too much because I sleep a lot during the day. I can not wait to get out late anyway. It's okay, but you'll have to go to work. I'm worried."
444,144,__label__2,It's not easy to skin manage your brother today M countdown comeback Fighting
445,145,__label__2,I'm hungry
446,146,__label__2,I miss you
447,147,__label__2,I'm sad.
448,148,__label__2,Wet with rain
449,149,__label__2,The degree of recent fatigue accumulation
450,150,__label__2,I'll just shut up.
451,151,__label__2,I waited for about two hours outside the pancake room. I'm hungry and sad.
452,152,__label__2,It's hot and real.
453,153,__label__2,
454,154,__label__2,stress
455,155,__label__2,"So when the Korean comeback is expected, the Korean comeback is expected."
456,156,__label__2,Why
457,157,__label__2,What is it?
458,158,__label__2,I have brought you a list of salvage drunks. I have brought you a list of drunks. Minhae Hae-young Ha-young Tiffany Taemin Gilli Boy Leo Bobby Jun-hee Minho I have to take you to the moon.
459,159,__label__2,I do not feel like I have a problem with my back yet.
460,160,__label__2,I'll cheer up.
461,161,__label__2,Eat soup stew soup
462,162,__label__2,Gifted because of good dreams.
463,163,__label__2,I'll be bored.
464,164,__label__2,Breakfast
465,165,__label__2,Indigestion
466,166,__label__2,"I have gathered the people I want to see, and I have gathered a lot of people who want to see Lee Joon Sook Myung Soo Dong Woo Suk Jin Sugar Ruhan Siu Min Junior Gifted Bang Sung Jun Kim Woo Bin would be nice if he comes."
467,167,__label__2,Filtering failed
468,168,__label__2,I will not come in now.
469,169,__label__2,I know what it is.
470,170,__label__2,But I want to dye my hair brown more
471,171,__label__2,Nanjing Bae Hyun-jong set to explode
472,172,__label__2,Tomorrow's test is too hard.
473,173,__label__2,What happened? Good night.
474,174,__label__2,"Yes, I've been studying free math since today, but it was a real strange math test. I do not know if all the problems are known to you."
475,175,__label__2,Ilsan Woochuk Cellar Stargram
476,176,__label__2,I am so glad to hear that you have a lot of trouble to listen to your voice when I'm in a lot of trouble.
477,177,__label__2,"When I come to Guri City and go to Seoul, I do not feel like a bumpy bus."
478,178,__label__2,I am looking forward to seeing you on the rainy day today. I want to see you on the day of rain.
479,179,__label__2,It's snowing in the evening.
480,180,__label__2,I want to see
481,181,__label__2,"Wow, I'm sorry."
482,182,__label__2,I'm frustrated
483,183,__label__2,I hear that a lot.
484,184,__label__2,"I saw it. I saw it. I used it, but I have to see it again."
